millis,ax,ay,az,gx,gy,gz,label
1197480,722,-8289,332,0,-2,0,0
1197485,718,-8288,322,0,-2,0,0
1197490,715,-8287,315,0,-2,0,0
1197495,710,-8290,304,0,-1,0,0
1197500,705,-8291,291,0,-1,0,0
1197505,705,-8291,284,0,-1,0,0
1197510,707,-8290,279,0,-1,0,0
1197515,709,-8288,283,0,-1,-1,0
1197520,714,-8289,289,0,-1,-1,0
1197525,722,-8288,298,0,-1,0,0
1197530,729,-8288,309,0,-1,0,0
1197535,734,-8287,315,0,-1,0,0
1197540,740,-8286,318,0,-1,0,0
1197545,744,-8287,321,0,-2,0,0
1197550,744,-8287,323,0,-2,0,0
1197555,745,-8285,324,0,-2,0,0
1197560,749,-8281,323,0,-2,0,0
1197565,754,-8281,314,0,-2,0,0
1197570,755,-8280,317,0,-3,0,0
1197575,758,-8279,317,0,-3,0,0
1197580,761,-8280,318,0,-3,-1,0
1197585,769,-8283,317,0,-4,0,0
1197590,776,-8285,315,0,-4,0,0
1197595,781,-8285,314,0,-5,0,0
1197600,783,-8287,307,0,-5,0,0
1197605,784,-8288,297,0,-5,0,0
1197610,785,-8291,280,0,-4,0,0
1197615,793,-8289,266,0,-4,0,0
1197620,800,-8289,253,0,-3,0,0
1197625,803,-8287,238,0,-3,0,0
1197630,808,-8284,227,0,-3,0,0
1197635,813,-8283,223,0,-4,0,0
1197640,817,-8282,222,0,-4,0,0
1197645,819,-8279,221,0,-4,0,0
1197650,816,-8280,217,1,-4,0,0
1197655,813,-8280,211,1,-4,0,0
1197660,808,-8279,204,1,-4,0,0
1197665,805,-8277,202,1,-4,0,0
1197670,800,-8280,200,1,-4,0,0
1197675,794,-8282,195,1,-4,0,0
1197680,788,-8284,191,1,-3,0,0
1197685,786,-8283,186,1,-3,0,0
1197690,787,-8284,180,1,-3,0,0
1197695,789,-8283,185,1,-3,0,0
1197700,791,-8280,183,1,-3,0,0
1197705,795,-8276,187,1,-3,0,0
1197710,802,-8277,186,1,-4,0,0
1197715,811,-8275,186,1,-4,0,0
1197720,821,-8276,182,1,-5,0,0
1197725,827,-8276,182,1,-6,0,0
1197730,828,-8275,187,1,-7,0,0
1197735,831,-8274,182,1,-8,0,0
1197740,833,-8274,182,1,-8,0,0
1197745,835,-8278,178,1,-8,0,0
1197750,836,-8278,179,1,-8,0,0
1197755,833,-8280,179,1,-8,0,0
1197760,826,-8281,178,1,-7,0,0
1197765,817,-8281,177,1,-7,0,0
1197770,805,-8281,184,1,-6,0,0
1197775,797,-8280,189,1,-6,0,0
