millis,ax,ay,az,gx,gy,gz,label
315757,438,-8169,279,-1,3,-1,0
315762,435,-8170,281,-1,3,-1,0
315767,433,-8170,288,-1,3,-1,0
315772,429,-8169,292,-1,3,-1,0
315777,429,-8171,293,-1,3,-1,0
315782,431,-8170,296,-1,2,-1,0
315787,426,-8171,300,-1,2,-1,0
315792,422,-8173,303,-1,1,-1,0
315797,417,-8173,306,-1,1,-1,0
315802,411,-8172,304,-1,1,-1,0
315807,405,-8174,304,-1,1,-1,0
315812,399,-8175,303,-1,1,-1,0
315817,393,-8175,301,-1,1,-1,0
315823,391,-8178,300,-1,1,-1,0
315827,391,-8179,297,-1,1,-1,0
315833,391,-8180,293,-1,2,-1,0
315837,392,-8182,290,-1,2,-1,0
315842,394,-8181,287,-1,3,-1,0
315847,397,-8182,287,-1,3,-1,0
315852,404,-8180,285,-1,3,-1,0
315858,413,-8179,282,-1,3,-1,0
315862,422,-8179,277,-1,3,-1,0
315867,428,-8179,271,-1,2,-1,0
315872,431,-8180,263,-1,2,-1,0
315877,435,-8179,254,-1,1,-1,0
315882,438,-8179,249,-1,1,-1,0
315887,439,-8179,245,-1,0,-1,0
315892,436,-8177,242,-1,0,-1,0
315897,431,-8177,244,-1,-1,-1,0
315902,426,-8178,244,-1,-1,-1,0
315907,419,-8178,245,-1,0,-1,0
315912,417,-8178,250,-1,0,-1,0
315917,419,-8179,253,-1,0,-1,0
315922,421,-8178,255,-1,1,-1,0
315927,423,-8178,255,-1,1,-1,0
315932,428,-8177,252,-1,2,-1,0
315937,435,-8177,246,-1,2,-1,0
315942,444,-8177,239,-1,2,-1,0
315946,457,-8175,234,-1,3,-1,0
315952,468,-8174,233,-1,2,-1,0
315957,479,-8176,234,-1,2,-1,0
315962,486,-8179,233,-1,1,-1,0
315967,493,-8178,228,-1,1,-1,0
315972,497,-8177,221,-1,0,-1,0
315977,491,-8174,216,-1,0,-1,0
315982,484,-8173,214,-1,-1,-1,0
315987,472,-8174,207,-1,-1,-1,0
315992,457,-8174,208,-1,0,-1,0
315997,443,-8175,209,-1,0,-1,0
316002,430,-8175,215,-1,0,-1,0
316006,418,-8175,225,-1,0,-1,0
316011,407,-8173,233,-1,0,-1,0
316017,397,-8171,241,-1,0,-1,0
316022,389,-8169,244,-1,0,-1,0
316027,384,-8172,243,-1,0,-1,0
316032,384,-8175,238,-1,0,-1,0
316036,385,-8173,238,-1,0,-1,0
316042,388,-8171,240,-1,0,-1,0
