millis,ax,ay,az,gx,gy,gz,label
17980973,648,-8303,-249,0,3,0,0
17980978,648,-8302,-254,0,2,0,0
17980983,648,-8303,-258,0,2,0,0
17980987,643,-8301,-256,0,2,0,0
17980993,638,-8302,-255,0,1,0,0
17980998,632,-8300,-251,0,1,0,0
17981002,619,-8299,-250,0,1,0,0
17981008,609,-8298,-255,0,2,0,0
17981013,595,-8297,-257,0,2,0,0
17981017,584,-8298,-265,0,2,0,0
17981023,576,-8297,-270,0,2,0,0
17981028,569,-8297,-274,0,3,0,0
17981032,567,-8298,-280,0,3,0,0
17981037,569,-8303,-280,0,3,0,0
17981042,575,-8301,-279,0,3,0,0
17981048,580,-8299,-278,0,3,0,0
17981053,586,-8301,-279,0,3,0,0
17981058,592,-8301,-281,0,3,0,0
17981063,595,-8302,-287,0,3,0,0
17981067,592,-8300,-285,0,3,0,0
17981073,584,-8300,-284,0,3,0,0
17981078,579,-8299,-278,0,4,0,0
17981083,579,-8298,-275,0,4,0,0
17981088,584,-8299,-270,0,5,0,0
17981093,595,-8299,-264,0,6,0,0
17981097,615,-8299,-263,0,7,0,0
17981102,637,-8302,-263,0,8,0,0
17981108,654,-8303,-262,0,10,0,0
17981113,670,-8306,-264,0,13,0,0
17981118,678,-8306,-257,0,16,0,0
17981123,679,-8303,-257,0,19,0,0
17981128,666,-8302,-248,0,21,0,0
17981133,642,-8302,-241,0,24,0,0
17981138,618,-8300,-242,0,26,0,0
17981143,588,-8300,-238,0,30,0,0
17981148,553,-8299,-239,0,33,0,0
17981153,520,-8298,-239,0,37,0,0
17981158,489,-8299,-242,0,42,0,0
17981163,459,-8298,-248,0,46,0,0
17981168,437,-8298,-245,0,51,0,0
17981173,422,-8300,-239,-1,54,0,0
17981178,410,-8301,-226,-1,56,0,0
17981183,401,-8302,-221,-1,57,0,0
17981188,392,-8304,-215,-1,57,0,0
17981193,385,-8305,-205,0,57,0,0
17981198,383,-8306,-207,0,59,0,0
17981203,388,-8308,-218,0,60,0,0
17981208,403,-8309,-236,0,63,0,0
17981213,427,-8305,-251,-1,64,0,0
17981218,464,-8307,-250,-1,63,0,0
17981223,516,-8306,-227,-1,57,-1,0
17981228,566,-8303,-174,-1,46,-1,0
17981233,604,-8301,-108,-1,33,-1,0
17981238,625,-8298,-43,-1,20,-1,0
17981243,637,-8295,13,0,8,-1,0
17981248,640,-8292,41,0,0,-1,0
17981253,633,-8292,33,0,-6,-1,0
17981258,622,-8293,-11,1,-9,-1,0
17981263,607,-8293,-66,1,-9,-1,0
17981268,583,-8294,-127,0,-7,-1,0
17981273,559,-8298,-184,0,-5,-1,0
17981278,535,-8300,-211,0,-2,-2,0
17981283,513,-8304,-217,0,0,-2,0
17981288,494,-8303,-198,0,1,-1,0
17981293,494,-8302,-170,0,4,-1,0
17981298,524,-8302,-165,0,6,-1,0
17981303,580,-8300,-165,0,6,-1,0
17981308,648,-8302,-179,0,1,-1,0
17981313,698,-8304,-204,1,-5,-1,0
17981318,713,-8306,-220,0,-9,-2,0
17981323,695,-8308,-226,0,-8,-2,0
17981328,649,-8309,-208,0,-3,-2,0
17981333,591,-8307,-163,0,4,-2,0
17981338,536,-8309,-109,0,11,-2,0
17981343,500,-8310,-51,0,16,-1,0
17981348,490,-8306,-10,0,17,-1,0
