millis,ax,ay,az,gx,gy,gz,label
236985,319,-8190,-172,-2,-2,0,0
236990,316,-8191,-171,-2,-1,0,0
236996,317,-8194,-170,-2,-1,0,0
237001,314,-8197,-169,-2,-1,0,0
237006,312,-8196,-167,-2,-1,0,0
237012,313,-8197,-166,-2,-1,0,0
237018,311,-8196,-161,-2,-2,0,0
237022,310,-8196,-161,-2,-2,0,0
237027,310,-8195,-157,-2,-2,0,0
237033,310,-8193,-151,-2,-2,0,0
237039,310,-8192,-150,-2,-2,0,0
237044,309,-8192,-147,-2,-2,0,0
237050,308,-8194,-147,-2,-2,0,0
237056,305,-8195,-145,-2,-2,0,0
237060,303,-8196,-144,-2,-2,0,0
237066,303,-8198,-143,-2,-2,0,0
237072,302,-8199,-141,-2,-2,0,0
237077,301,-8200,-139,-2,-2,0,0
237082,302,-8200,-139,-2,-2,0,0
237087,305,-8200,-141,-2,-2,0,0
237093,310,-8200,-145,-2,-2,0,0
237098,314,-8199,-148,-2,-2,0,0
237104,319,-8198,-153,-2,-1,0,0
237109,325,-8195,-153,-2,-1,0,0
237115,331,-8196,-155,-2,-1,0,0
237120,333,-8194,-154,-2,-2,0,0
237126,333,-8193,-154,-2,-2,0,0
237132,329,-8194,-148,-2,-2,0,0
237137,325,-8195,-146,-2,-2,0,0
237142,321,-8195,-146,-2,-2,0,0
237148,318,-8195,-145,-2,-2,0,0
237153,319,-8194,-143,-2,-2,0,0
237158,322,-8193,-147,-2,-2,0,0
237162,325,-8194,-153,-2,-3,0,0
237168,328,-8194,-154,-2,-3,0,0
237174,326,-8197,-154,-2,-3,0,0
237180,324,-8195,-158,-2,-3,0,0
237185,323,-8196,-161,-2,-3,0,0
237190,318,-8196,-166,-2,-3,0,0
237196,312,-8198,-168,-2,-3,0,0
237201,308,-8198,-171,-2,-3,0,0
237206,307,-8196,-170,-2,-3,0,0
237212,308,-8193,-170,-2,-3,0,0
237218,313,-8192,-168,-2,-3,0,0
237222,319,-8190,-169,-2,-3,0,0
237228,326,-8190,-169,-2,-3,0,0
237234,331,-8192,-173,-2,-3,0,0
237239,333,-8193,-178,-2,-4,0,0
237245,332,-8194,-185,-2,-4,0,0
237250,330,-8194,-190,-2,-5,0,0
237256,328,-8193,-194,-2,-5,0,0
