millis,ax,ay,az,gx,gy,gz,label
45152,-121,-8180,-763,-6,16,1,0
45156,-103,-8177,-739,-6,17,1,0
45162,-84,-8175,-716,-6,17,1,0
45166,-67,-8177,-701,-6,17,1,0
45170,-44,-8178,-687,-6,17,1,0
45175,-24,-8178,-674,-6,17,1,0
45180,-3,-8180,-660,-6,17,1,0
45185,13,-8179,-646,-6,17,1,0
45190,28,-8181,-641,-6,17,1,0
45195,45,-8179,-644,-6,17,1,0
45200,59,-8179,-658,-6,17,1,0
45205,76,-8177,-683,-6,17,1,0
45210,89,-8175,-707,-6,17,1,0
45215,91,-8177,-735,-6,17,1,0
45220,93,-8174,-758,-6,19,1,0
45225,96,-8174,-774,-6,21,1,0
45230,91,-8172,-784,-6,22,1,0
45235,81,-8172,-779,-6,24,1,0
45240,79,-8171,-767,-6,26,1,0
45245,88,-8173,-748,-6,27,1,0
45250,103,-8174,-730,-6,27,1,0
45255,128,-8172,-702,-6,26,1,0
45260,156,-8173,-685,-6,24,1,0
45266,181,-8173,-673,-6,22,1,0
45270,208,-8174,-661,-6,20,1,0
45276,231,-8180,-655,-5,18,1,0
45280,245,-8180,-657,-5,15,1,0
45286,256,-8182,-661,-5,11,1,0
45291,261,-8180,-668,-5,7,1,0
45296,260,-8180,-675,-5,3,1,0
45301,248,-8179,-690,-5,1,1,0
45306,225,-8177,-697,-5,-1,1,0
45311,188,-8176,-708,-5,-1,1,0
45316,145,-8177,-713,-5,-1,0,0
45321,96,-8176,-723,-5,-1,0,0
45327,47,-8177,-737,-5,0,1,0
45332,13,-8176,-752,-5,1,1,0
45337,-16,-8174,-770,-5,3,1,0
45343,-32,-8175,-800,-5,5,1,0
45347,-37,-8174,-834,-5,7,1,0
45353,-38,-8171,-869,-5,9,1,0
45358,-36,-8170,-900,-5,12,0,0
45363,-34,-8172,-927,-5,14,0,0
45369,-37,-8172,-960,-4,15,0,0
45374,-39,-8171,-990,-4,16,0,0
45379,-39,-8170,-1021,-4,17,0,0
45384,-45,-8170,-1053,-4,18,0,0
45389,-51,-8171,-1090,-4,18,0,0
45394,-55,-8178,-1129,-4,18,0,0
45399,-41,-8174,-1171,-3,16,0,0
45404,-27,-8168,-1213,-3,12,0,0
45410,-31,-8169,-1246,-3,8,0,0
45415,-53,-8166,-1271,-3,5,0,0
45420,-86,-8169,-1281,-3,3,-1,0
45426,-118,-8168,-1275,-2,1,-1,0
45432,-170,-8167,-1261,-2,-1,-1,0
45437,-241,-8168,-1252,-2,-2,-1,0
45442,-305,-8169,-1226,-2,-2,-1,0
45448,-344,-8171,-1185,-2,-3,-2,0
45453,-372,-8177,-1139,-2,-1,-2,0
45458,-405,-8177,-1068,-2,2,-2,0
45463,-427,-8179,-991,-2,1,-2,0
45468,-406,-8180,-927,-2,-1,-2,0
45472,-374,-8182,-874,-1,-3,-2,0
45477,-319,-8186,-826,-1,-4,-2,0
45482,-216,-8183,-789,-2,-4,-2,0
45486,-103,-8183,-760,-2,-4,-2,0
45493,12,-8182,-720,-2,-2,-2,0
45498,120,-8180,-687,-2,-1,-2,0
45504,204,-8178,-660,-2,-2,-2,0
45509,245,-8179,-647,-2,-4,-2,0
45515,258,-8180,-648,-2,-6,-2,0
45519,255,-8180,-666,-2,-7,-2,0
45523,240,-8180,-701,-2,-7,-2,0
45527,229,-8179,-734,-2,-6,-2,0
45531,218,-8181,-771,-2,-5,-2,0
45536,202,-8181,-802,-2,-4,-2,0
45540,183,-8179,-829,-2,-4,-2,0
45544,157,-8176,-851,-1,-4,-2,0
45548,128,-8174,-880,-1,-4,-2,0
45552,101,-8174,-915,-1,-4,-2,0
45556,82,-8174,-954,-1,-4,-2,0
45561,68,-8170,-1001,-1,-4,-2,0
45565,51,-8170,-1043,-1,-5,-2,0
45569,25,-8170,-1085,-1,-6,-2,0
45574,-3,-8173,-1117,0,-7,-2,0
45579,-35,-8174,-1142,0,-7,-3,0
45584,-64,-8172,-1172,0,-8,-3,0
45589,-86,-8172,-1209,0,-8,-3,0
45594,-96,-8173,-1251,1,-9,-3,0
45599,-92,-8170,-1296,1,-9,-3,0
45604,-84,-8171,-1338,1,-11,-3,0
45609,-72,-8166,-1376,1,-12,-3,0
45614,-59,-8162,-1406,2,-12,-3,0
45619,-54,-8164,-1431,2,-13,-3,0
45624,-52,-8160,-1458,2,-12,-3,0
45629,-51,-8161,-1476,2,-12,-4,0
45634,-51,-8162,-1491,3,-13,-4,0
45639,-56,-8162,-1496,3,-14,-4,0
45644,-61,-8164,-1484,3,-15,-4,0
45649,-59,-8167,-1450,3,-15,-4,0
45654,-67,-8169,-1389,3,-14,-4,0
45659,-86,-8170,-1305,3,-10,-4,0
45664,-95,-8170,-1213,3,-5,-4,0
45669,-89,-8167,-1108,3,0,-4,0
45674,-66,-8169,-992,3,3,-4,0
45679,-23,-8169,-876,3,3,-3,0
45684,26,-8172,-753,3,3,-3,0
45689,80,-8175,-622,3,3,-4,0
45694,137,-8175,-497,3,3,-4,0
45699,192,-8176,-374,3,3,-4,0
45704,236,-8175,-276,3,2,-4,0
45709,272,-8179,-196,2,1,-3,0
45714,305,-8181,-147,2,0,-3,0
45719,330,-8182,-125,2,0,-3,0
45724,355,-8182,-125,2,0,-3,0
45729,382,-8185,-146,2,0,-3,0
45734,402,-8183,-171,2,0,-3,0
45739,411,-8185,-210,2,0,-3,0
45744,407,-8186,-236,1,0,-3,0
45749,390,-8187,-257,1,2,-3,0
45754,371,-8186,-263,1,4,-3,0
45759,349,-8184,-261,1,6,-3,0
45764,329,-8183,-249,1,7,-3,0
45769,314,-8183,-241,1,9,-3,0
45774,293,-8183,-238,1,9,-3,0
45779,274,-8181,-248,1,7,-3,0
45784,252,-8179,-266,1,5,-3,0
45789,229,-8182,-280,1,2,-3,0
45794,196,-8182,-294,1,-1,-3,0
45799,162,-8179,-312,1,-2,-3,0
45804,128,-8179,-330,1,-1,-3,0
45809,101,-8179,-349,1,-1,-4,0
45814,82,-8180,-365,1,0,-4,0
45819,66,-8185,-385,1,-1,-4,0
45824,57,-8184,-396,1,-1,-4,0
45829,61,-8180,-401,1,-1,-4,0
45834,79,-8180,-404,1,0,-4,0
45839,109,-8180,-399,1,1,-4,0
45844,155,-8178,-401,1,2,-4,0
45849,214,-8177,-399,1,3,-4,0
45854,282,-8176,-399,1,4,-3,0
45859,352,-8178,-399,1,6,-3,0
45864,424,-8176,-389,0,8,-3,0
45869,491,-8178,-378,0,11,-3,0
45874,549,-8179,-358,0,14,-3,0
45879,606,-8182,-337,0,18,-3,0
45884,649,-8180,-333,0,21,-2,0
45889,692,-8178,-342,0,23,-2,0
45894,729,-8177,-361,0,22,-2,0
45899,762,-8176,-396,0,19,-2,0
45904,794,-8178,-431,0,13,-2,0
45909,820,-8180,-464,0,7,-2,0
45914,827,-8181,-489,1,1,-2,0
45919,804,-8183,-508,1,-4,-2,0
45924,746,-8182,-525,1,-5,-2,0
45929,675,-8182,-542,1,-5,-2,0
45934,603,-8185,-561,1,-3,-2,0
45939,538,-8188,-568,1,-2,-2,0
45944,496,-8189,-557,1,-1,-2,0
45949,470,-8187,-532,1,-1,-2,0
45954,459,-8185,-499,1,0,-2,0
45959,457,-8183,-468,1,0,-2,0
45964,455,-8184,-437,1,-1,-2,0
45969,453,-8184,-406,1,-1,-2,0
45974,460,-8190,-362,1,-1,-2,0
45979,486,-8193,-307,0,1,-1,0
45984,535,-8192,-236,0,2,-1,0
45989,595,-8193,-156,0,4,-1,0
45994,655,-8194,-84,0,6,-1,0
45999,704,-8193,-31,0,8,-1,0
46004,733,-8196,5,0,9,-1,0
46009,743,-8198,21,0,8,-1,0
46014,735,-8195,31,-1,6,-1,0
46019,711,-8198,39,-1,3,-1,0
46024,670,-8195,49,-1,1,0,0
46029,632,-8195,60,-1,0,0,0
46034,595,-8195,50,-1,-1,0,0
46039,548,-8193,26,-1,-2,-1,0
46044,495,-8196,-17,-1,-2,-1,0
46049,436,-8195,-65,-1,-3,-1,0
46054,379,-8195,-110,-1,-3,-1,0
46059,326,-8193,-155,-1,-3,-1,0
46064,281,-8194,-198,-1,-2,-1,0
46069,247,-8196,-233,-1,-2,-1,0
46074,224,-8195,-277,-1,-1,-1,0
46079,209,-8192,-325,-1,-2,-1,0
46084,193,-8195,-378,-1,-2,-1,0
46089,181,-8192,-428,-1,-2,-1,0
46094,177,-8197,-470,-1,-2,-1,0
46099,181,-8192,-505,-1,-1,-1,0
46104,199,-8188,-527,-1,-1,-1,0
46110,233,-8187,-536,-1,-1,-1,0
46116,284,-8188,-532,-1,1,-1,0
46121,346,-8188,-519,-1,1,-1,0
46127,411,-8185,-497,-1,2,-1,0
46132,465,-8185,-473,-1,1,-1,0
46138,498,-8186,-457,-1,1,-1,0
46144,511,-8185,-443,0,0,-1,0
46149,506,-8187,-443,0,0,-1,0
46154,485,-8187,-440,0,0,-1,0
46159,453,-8188,-433,-1,0,-1,0
46165,418,-8190,-420,-1,1,-1,0
46170,391,-8192,-406,-1,2,-1,0
46175,372,-8187,-401,0,2,-1,0
46180,361,-8183,-404,0,2,-1,0
46184,361,-8182,-411,0,2,-1,0
46189,377,-8184,-421,0,2,-1,0
46193,401,-8183,-437,0,2,-1,0
46198,432,-8181,-453,0,1,-1,0
46203,464,-8182,-464,0,1,-1,0
46207,491,-8181,-480,0,0,-1,0
46212,517,-8179,-492,0,-1,-1,0
46217,543,-8178,-506,0,-1,-1,0
46222,565,-8176,-520,0,-1,0,0
46227,585,-8174,-524,0,0,0,0
46232,606,-8177,-513,0,1,0,0
46237,616,-8179,-475,0,3,0,0
46242,612,-8181,-421,0,6,0,0
46247,595,-8182,-355,0,11,0,0
46252,564,-8186,-283,0,19,0,0
46257,519,-8187,-227,-1,27,1,0
46262,469,-8188,-188,-1,37,1,0
46267,416,-8191,-155,-1,46,1,0
46271,374,-8194,-137,-1,56,1,0
46277,333,-8195,-126,-2,66,2,0
46282,304,-8192,-131,-2,76,2,0
46287,283,-8192,-148,-2,86,2,0
46292,264,-8191,-175,-2,94,2,0
46297,260,-8189,-219,-2,100,2,0
46302,265,-8190,-272,-2,102,2,0
46306,297,-8185,-328,-2,101,2,0
46311,346,-8179,-383,-2,96,2,0
46317,415,-8179,-428,-2,90,2,0
46321,499,-8174,-464,-2,81,2,0
46327,589,-8174,-486,-1,72,2,0
46331,675,-8177,-487,-1,62,2,0
46337,740,-8180,-477,-1,53,2,0
46341,771,-8184,-456,-1,46,2,0
46347,768,-8186,-417,-1,41,2,0
46352,732,-8189,-376,-1,37,2,0
46356,670,-8192,-330,-1,34,2,0
46362,602,-8190,-291,-1,32,2,0
46367,542,-8191,-259,-1,31,2,0
46371,494,-8191,-231,-1,30,2,0
46376,463,-8192,-205,-1,31,2,0
46381,451,-8193,-179,-1,32,2,0
46386,453,-8192,-159,-1,33,2,0
46391,457,-8190,-141,-1,33,2,0
46396,456,-8191,-127,-1,31,2,0
46402,446,-8197,-114,-1,29,2,0
46406,420,-8197,-97,-1,25,2,0
46411,377,-8199,-74,-1,23,2,0
46416,321,-8200,-50,-1,21,2,0
46421,260,-8201,-33,-1,21,1,0
46426,200,-8201,-27,-1,21,1,0
46430,145,-8204,-42,-1,22,1,0
46436,103,-8208,-71,-1,24,1,0
46441,77,-8213,-110,-2,25,1,0
46446,65,-8215,-156,-2,26,1,0
46451,73,-8214,-188,-2,26,1,0
46456,88,-8211,-219,-2,25,1,0
46461,113,-8211,-231,-2,25,1,0
46466,130,-8213,-220,-2,23,1,0
46471,133,-8218,-193,-2,21,1,0
46475,118,-8223,-155,-2,20,0,0
46479,83,-8223,-117,-2,18,0,0
46484,42,-8222,-81,-2,18,0,0
46488,-5,-8219,-60,-2,18,0,0
46493,-41,-8214,-55,-2,19,0,0
46498,-55,-8213,-62,-2,21,0,0
46503,-57,-8213,-76,-2,23,0,0
46508,-50,-8215,-90,-2,25,0,0
46513,-41,-8214,-78,-2,29,0,0
46518,-39,-8210,-67,-3,33,0,0
46523,-30,-8206,-39,-3,37,0,0
46528,-22,-8202,-8,-3,41,0,0
46533,-6,-8199,17,-3,44,0,0
46538,21,-8196,39,-3,45,0,0
46543,62,-8191,45,-3,46,0,0
46548,109,-8187,35,-3,46,0,0
46553,165,-8188,8,-3,45,0,0
46559,206,-8194,-14,-3,44,0,0
46564,231,-8205,-41,-3,44,0,0
46568,249,-8220,-67,-4,46,0,0
46573,261,-8241,-86,-4,48,0,0
46578,278,-8265,-101,-4,51,0,0
46583,305,-8286,-104,-4,53,0,0
46588,348,-8310,-100,-4,54,0,0
46594,407,-8330,-92,-4,54,0,0
46598,463,-8345,-88,-4,53,0,0
46603,534,-8361,-89,-4,53,0,0
46608,602,-8378,-97,-4,52,0,0
46613,671,-8391,-117,-4,51,1,0
46618,739,-8396,-153,-4,50,1,0
