millis,ax,ay,az,gx,gy,gz,label
1050661,-902,-7919,-1658,2,-1,2,0
1050666,-895,-7916,-1657,2,0,2,0
1050671,-890,-7914,-1657,3,0,2,0
1050676,-892,-7915,-1657,3,-1,2,0
1050681,-898,-7915,-1654,3,-1,3,0
1050686,-904,-7920,-1654,3,-1,3,0
1050691,-908,-7920,-1655,3,0,3,0
1050696,-912,-7921,-1660,3,0,3,0
1050701,-912,-7923,-1667,3,0,3,0
1050706,-911,-7930,-1677,3,0,3,0
1050711,-910,-7939,-1680,3,-1,3,0
1050716,-906,-7949,-1681,3,-1,3,0
1050722,-907,-7957,-1679,3,-2,3,0
1050726,-914,-7964,-1681,3,-2,3,0
1050731,-922,-7973,-1689,3,-2,3,0
1050736,-929,-7980,-1699,4,-2,3,0
1050741,-931,-7982,-1706,4,-2,3,0
1050746,-929,-7984,-1711,4,-2,3,0
1050751,-924,-7980,-1711,4,-2,3,0
1050756,-920,-7972,-1709,4,-2,3,0
1050762,-918,-7964,-1709,4,-3,3,0
1050766,-922,-7954,-1707,4,-2,3,0
1050771,-930,-7943,-1703,4,-2,3,0
1050776,-944,-7935,-1699,4,-2,3,0
1050781,-954,-7923,-1692,4,-1,3,0
1050786,-962,-7916,-1701,4,0,4,0
1050791,-963,-7913,-1707,4,1,4,0
1050796,-959,-7916,-1714,4,1,4,0
1050801,-952,-7923,-1724,4,1,4,0
1050806,-941,-7932,-1728,4,1,4,0
1050811,-931,-7942,-1733,4,0,4,0
1050816,-928,-7946,-1733,4,-1,4,0
1050821,-929,-7948,-1732,4,-2,3,0
1050826,-935,-7948,-1736,4,-2,3,0
1050831,-944,-7951,-1733,4,-1,3,0
1050836,-951,-7956,-1727,4,-1,3,0
1050841,-957,-7959,-1723,4,1,3,0
1050846,-961,-7963,-1725,3,1,3,0
1050851,-959,-7963,-1730,3,2,3,0
1050856,-958,-7969,-1735,3,2,3,0
1050861,-957,-7982,-1743,3,3,3,0
1050866,-952,-7999,-1751,3,3,3,0
1050871,-945,-8016,-1761,3,3,3,0
1050876,-935,-8029,-1769,3,2,3,0
1050881,-923,-8034,-1783,3,1,3,0
1050886,-914,-8034,-1793,3,-1,3,0
1050891,-911,-8029,-1796,3,-2,3,0
1050896,-910,-8021,-1794,3,-2,3,0
1050901,-910,-8012,-1792,3,-2,3,0
1050906,-912,-8002,-1789,3,-1,3,0
1050911,-915,-7993,-1787,3,-1,3,0
1050916,-917,-7985,-1787,3,-1,2,0
1050921,-920,-7979,-1790,3,0,2,0
1050926,-922,-7973,-1787,3,0,2,0
1050931,-924,-7967,-1790,3,0,2,0
1050936,-922,-7965,-1796,3,0,2,0
1050941,-919,-7969,-1802,3,0,2,0
1050946,-916,-7973,-1797,3,0,2,0
1050951,-904,-7976,-1792,3,0,2,0
1050956,-898,-7975,-1787,3,0,2,0
1050961,-897,-7975,-1786,3,0,2,0
1050966,-898,-7976,-1787,3,0,2,0
1050971,-906,-7981,-1792,3,0,2,0
1050976,-911,-7983,-1794,3,0,1,0
1050981,-908,-7986,-1797,3,0,1,0
1050986,-907,-7988,-1801,3,0,1,0
1050991,-900,-7986,-1804,3,0,1,0
1050996,-892,-7983,-1806,2,-1,1,0
1051001,-886,-7980,-1802,2,-1,1,0
1051006,-883,-7977,-1799,2,-2,1,0
1051011,-886,-7977,-1790,2,-1,1,0
1051016,-889,-7974,-1787,2,-1,1,0
1051022,-890,-7970,-1786,2,-1,1,0
1051027,-891,-7969,-1785,2,-1,1,0
1051032,-890,-7967,-1788,2,-1,0,0
1051037,-890,-7969,-1791,2,-1,0,0
1051041,-889,-7975,-1792,2,-2,0,0
1051046,-889,-7979,-1789,2,-3,0,0
1051051,-886,-7984,-1789,2,-3,0,0
1051056,-885,-7989,-1787,2,-4,0,0
1051061,-882,-7996,-1786,2,-4,0,0
1051066,-885,-8002,-1783,2,-4,0,0
1051071,-889,-8007,-1775,2,-5,0,0
1051076,-891,-8014,-1763,2,-5,-1,0
1051081,-895,-8016,-1760,2,-5,-1,0
1051085,-900,-8022,-1755,1,-5,-1,0
1051091,-905,-8030,-1743,1,-5,-1,0
1051096,-914,-8036,-1732,1,-4,-1,0
1051102,-927,-8040,-1722,1,-3,-1,0
1051107,-938,-8039,-1715,1,-1,-1,0
1051112,-947,-8031,-1716,1,1,-1,0
1051116,-953,-8018,-1719,1,3,-1,0
1051120,-956,-7998,-1722,1,5,-1,0
1051126,-959,-7975,-1721,1,6,-1,0
1051132,-960,-7953,-1724,0,7,-1,0
1051137,-954,-7932,-1729,0,8,-2,0
1051143,-941,-7919,-1730,0,9,-2,0
1051147,-928,-7908,-1730,0,9,-2,0
1051153,-918,-7906,-1736,0,9,-2,0
1051159,-914,-7912,-1742,0,8,-2,0
1051164,-917,-7926,-1748,0,6,-2,0
1051169,-920,-7939,-1758,0,6,-2,0
1051174,-921,-7950,-1759,0,6,-2,0
1051179,-920,-7955,-1753,0,7,-2,0
1051184,-916,-7956,-1741,0,8,-2,0
1051188,-910,-7958,-1733,-1,8,-2,0
1051194,-911,-7954,-1724,-1,8,-2,0
1051200,-913,-7951,-1727,-1,9,-2,0
1051204,-920,-7948,-1730,-1,9,-2,0
1051209,-927,-7940,-1737,-1,10,-2,0
1051215,-932,-7934,-1743,-1,10,-2,0
1051221,-934,-7931,-1744,-1,10,-2,0
1051226,-934,-7931,-1749,-1,10,-2,0
1051232,-930,-7934,-1757,-2,10,-2,0
1051238,-922,-7935,-1760,-2,10,-2,0
1051244,-920,-7945,-1765,-2,9,-2,0
1051249,-919,-7958,-1772,-2,9,-2,0
1051255,-921,-7974,-1777,-2,9,-2,0
1051261,-918,-7991,-1786,-2,8,-2,0
1051266,-914,-8001,-1795,-2,7,-2,0
1051272,-906,-8011,-1801,-2,6,-2,0
1051278,-903,-8018,-1801,-2,5,-3,0
1051283,-904,-8027,-1802,-2,4,-2,0
1051287,-908,-8037,-1800,-2,3,-3,0
1051293,-914,-8048,-1794,-3,3,-3,0
1051299,-919,-8059,-1792,-3,3,-3,0
1051305,-923,-8064,-1796,-3,3,-3,0
1051311,-925,-8063,-1798,-3,2,-3,0
1051316,-927,-8058,-1801,-3,2,-3,0
1051322,-930,-8047,-1802,-3,1,-3,0
1051326,-932,-8036,-1799,-3,1,-3,0
1051332,-931,-8030,-1796,-3,1,-2,0
1051337,-926,-8025,-1793,-3,1,-2,0
1051342,-925,-8019,-1794,-3,2,-2,0
1051347,-924,-8006,-1796,-3,2,-2,0
1051353,-928,-7995,-1802,-3,2,-2,0
1051359,-929,-7984,-1804,-3,1,-2,0
1051364,-929,-7974,-1805,-3,1,-2,0
1051368,-927,-7970,-1803,-3,2,-2,0
1051373,-926,-7965,-1804,-4,2,-2,0
1051378,-926,-7961,-1805,-4,1,-2,0
1051384,-925,-7957,-1806,-4,1,-2,0
1051389,-927,-7954,-1807,-4,1,-2,0
1051393,-930,-7950,-1810,-4,1,-2,0
1051398,-933,-7951,-1811,-4,1,-2,0
1051403,-935,-7950,-1808,-4,2,-2,0
