millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z
11803,183,209,153,273,197,-0.43,-10.2,-2.35
11904,180,209,154,271,199,-0.55,-10.08,-2.28
12003,182,208,153,272,198,-0.47,-10.04,-2.16
12103,184,206,154,275,199,-0.67,-10.16,-2.35
12204,182,207,153,273,196,-0.55,-10.04,-2.55
12303,185,207,156,273,196,-0.59,-10,-2.47
12403,182,205,153,273,197,-0.63,-10.08,-2.51
12603,182,208,153,273,198,-0.31,-9.85,-2.28
12703,180,208,152,270,197,-0.94,-10.2,-2.79
12803,182,207,152,272,198,-0.43,-9.92,-2.51
12903,181,208,152,272,195,-0.78,-10.04,-2.51
13003,182,208,152,273,197,-0.82,-10.08,-2.12
13103,182,207,153,272,197,-0.9,-10,-2.24
13203,182,208,152,273,198,-0.98,-10.04,-2.28
13303,181,208,152,273,197,-1.14,-10.08,-2.12
13403,182,208,152,273,196,-0.94,-10.16,-2
13503,181,208,152,273,198,-0.94,-10,-2.28
13603,182,208,151,260,197,-0.98,-9.96,-2.31
13703,182,208,152,273,198,-0.98,-9.92,-2.2
13803,181,209,151,273,197,-1.22,-10.16,-2.04
13903,182,209,151,273,197,-1.37,-9.89,-2.12
14003,181,208,151,273,198,-1.45,-9.89,-2.2
14103,169,208,150,272,198,-1.45,-10,-2.24
14203,180,209,149,273,198,-1.33,-9.85,-2.12
14303,181,208,151,273,198,-1.41,-10.12,-2
14403,181,208,150,273,198,-1.41,-9.89,-2.24
14503,181,191,150,273,197,-1.45,-10,-2.08
14603,181,208,135,273,198,-1.49,-9.92,-2.04
14703,181,208,150,251,198,-1.61,-10,-2.08
14803,184,209,150,273,198,-1.92,-9.89,-2.24
14903,182,209,151,273,198,-2,-9.81,-2.35
15003,181,195,149,273,198,-2.2,-9.73,-2.43
15104,181,208,150,273,198,-2.04,-9.77,-2.51
15203,181,208,150,271,198,-2,-9.89,-2.16
15303,181,208,151,273,198,-2.28,-9.89,-1.96
15404,184,208,152,274,193,-2.04,-9.85,-2.04
15503,181,208,151,272,197,-2,-9.57,-2.63
15603,180,208,150,273,198,-1.92,-9.69,-3.06
15803,181,207,153,273,198,-2.08,-9.73,-2.39
15903,181,209,151,273,198,-2.2,-9.77,-2.2
16003,181,208,150,274,199,-2.51,-9.73,-2.31
16103,181,208,150,273,197,-2.47,-9.73,-2.31
16203,180,212,152,273,199,-2.16,-9.61,-2.55
16303,182,207,150,274,199,-2.24,-9.69,-2.47
16403,182,208,151,272,198,-2.55,-9.77,-2.28
16503,182,209,152,271,197,-2.63,-9.61,-2.28
16603,180,210,151,272,199,-2.55,-9.41,-2.63
16703,177,211,152,274,199,-2.51,-9.69,-2.47
16803,182,209,153,274,200,-2.47,-9.49,-2.55
16903,177,209,154,275,198,-2.51,-9.34,-2.98
17003,177,210,153,273,200,-2.67,-8.87,-2.79
17103,177,211,152,274,199,-2.98,-8.79,-3.57
17203,171,209,151,276,198,-3.06,-8.63,-3.73
17303,164,210,153,272,197,-3.57,-8.43,-4.35
17403,158,195,141,255,191,-3.69,-7.88,-4.39
17503,163,195,142,256,186,-4.2,-7.34,-4.98
17603,173,210,151,272,198,-5.33,-6.39,-5.61
17703,173,209,152,273,199,-5.45,-5.92,-5.22
17803,173,208,151,271,197,-5.88,-5.45,-4.79
17903,169,206,144,265,187,-6.79,-5.14,-4.47
18003,167,201,146,255,186,-7.34,-4.86,-4.59
18103,165,196,147,268,195,-7.1,-4.71,-4.9
18203,166,204,148,267,190,-7.3,-4.39,-5.18
18304,150,182,134,240,175,-7.18,-3.84,-4.67
18403,166,201,147,264,191,-7.37,-3.96,-3.84
18503,161,194,142,256,185,-7.34,-4.28,-4.12
18604,149,181,132,237,174,-7.77,-3.65,-4.79
18703,153,185,135,242,174,-7.45,-3.77,-4.71
18803,160,196,140,252,175,-7.53,-3.96,-4.12
19003,170,206,152,272,198,-7.37,-3.96,-4.04
19103,172,210,153,275,200,-7.53,-4,-3.96
19203,163,195,137,257,184,-7.49,-3.77,-4.12
19303,168,206,149,266,196,-7.41,-3.84,-3.8
19403,164,199,144,262,191,-7.49,-4.35,-3.57
19503,167,204,148,266,191,-7.73,-2.98,-4.47
19603,164,203,151,265,193,-7.65,-1.73,-4.55
19703,167,205,152,266,196,-7.53,-0.51,-4.28
19803,167,210,154,274,199,-7.49,0.31,-4.79
19903,172,209,153,270,197,-7.41,1.22,-5.06
20003,168,210,157,273,199,-7.18,2.12,-4.82
20103,173,213,155,273,199,-6.98,3.3,-4.55
20203,173,210,158,272,198,-6.28,4.79,-4.08
20303,168,206,153,268,195,-6.83,5.49,-4.39
20403,168,204,153,266,194,-6.28,5.92,-4.24
20503,170,204,153,266,195,-6.67,6.16,-3.96
20603,172,207,156,272,197,-4.94,5.65,-4.98
20703,175,212,153,264,187,-5.26,5.69,-5.14
20803,178,216,157,277,200,-4.59,6.28,-4.9
20903,181,216,155,278,205,-4.75,6.98,-5.33
21003,179,217,157,278,204,-4.51,7.14,-4.86
21103,178,216,158,278,201,-4.35,6.71,-4.35
21203,178,215,157,277,204,-3.73,7.14,-4.82
21303,180,217,157,278,205,-3.57,7.65,-4.82
21403,177,216,155,278,203,-3.61,7.73,-5.06
21504,179,215,157,278,201,-3.3,7.57,-4.24
21603,179,213,155,277,202,-3.06,7.14,-4.04
21703,179,218,157,279,202,-2.94,8.04,-4.16
21804,179,216,155,276,202,-3.37,8.16,-4.39
21903,179,217,156,277,204,-2.59,8.28,-4
22003,178,216,153,278,203,-2.67,7.77,-4.08
22203,182,215,155,276,203,-2.86,8.32,-4.12
22303,180,217,153,277,203,-3.1,8.24,-3.84
22403,177,216,154,278,203,-2.67,8.12,-3.92
22503,177,216,154,276,202,-2.51,8.12,-4.04
22603,178,214,149,277,201,-2.67,8.36,-4
22703,175,211,151,272,198,-2.67,8.32,-4.12
22803,172,206,148,261,193,-2.47,8.32,-3.88
22903,176,212,150,273,199,-2.55,8.51,-3.92
23003,172,207,148,268,195,-2.59,8.51,-3.96
23103,177,213,152,275,201,-2.35,8.24,-4.04
23203,171,205,145,264,193,-2.35,8.2,-3.92
23303,175,209,149,271,197,-2.35,8.32,-3.84
23403,174,209,149,271,197,-2.16,8.47,-3.8
23503,171,206,145,266,193,-2.2,8.36,-3.92
23603,172,207,146,268,195,-2.31,8.47,-3.92
23703,174,209,148,270,197,-2.35,8.36,-3.69
23803,175,211,150,273,199,-2.24,8.32,-3.84
23903,175,210,148,272,199,-2.31,8.59,-4.04
24003,175,210,149,271,199,-2.35,8.55,-3.77
24103,155,212,149,274,200,-2.35,8.43,-3.96
24203,172,206,146,267,195,-2.16,8.59,-3.8
24303,175,208,147,270,197,-2.12,8.36,-3.57
24403,175,211,148,271,198,-2.24,8.71,-3.92
24503,175,211,147,273,198,-2.16,8.55,-3.73
24603,177,210,150,271,199,-2.12,8.51,-3.77
24704,178,212,166,276,200,-2.2,8.55,-3.61
24803,177,213,151,276,202,-2.2,8.75,-3.88
24903,178,213,150,275,201,-1.96,8.47,-3.53
25004,177,212,150,274,201,-2.04,8.67,-3.73
25103,176,212,149,274,200,-1.84,8.87,-3.61
25203,177,212,151,274,200,-1.8,8.79,-3.69
25403,177,212,151,275,199,-2,8.59,-3.41
25503,177,212,151,275,198,-1.69,8.51,-3.8
25603,176,212,151,273,200,-1.73,8.63,-3.8
25703,176,212,146,275,201,-1.84,8.47,-3.57
25803,176,211,152,275,202,-2.71,8.63,-3.77
25903,12,212,153,274,199,-0.98,8.79,-3.69
26003,173,204,147,265,193,-2.04,8.98,-3.1
26103,4,208,149,266,197,-2.98,8.71,-3.1
26203,4,205,147,263,195,-3.84,8.71,-2.55
26303,135,212,152,276,202,-4.59,8.43,-2.31
26403,148,213,152,278,205,-4.24,8.12,-2
26503,142,213,155,277,205,-4.28,8.2,-1.65
26603,144,213,152,275,202,-4.67,8.39,-2.16
26703,136,199,141,243,176,-4.71,8.51,-1.8
26803,167,210,152,273,201,-4.51,8.36,-1.29
26903,171,215,154,276,204,-4.55,8.24,-0.98
27003,167,208,142,268,198,-4.94,8.43,-1.14
27103,153,196,139,255,187,-4.28,8.51,-1.29
27203,152,200,143,259,195,-4.55,8.51,-1.02
27303,168,224,155,279,206,-4.86,8.55,-1.1
27403,165,210,148,271,197,-5.1,8.51,-1.06
27503,162,215,156,278,202,-4.75,8.51,-0.78
27603,0,216,155,279,204,-5.02,8.71,-0.51
27703,11,216,154,278,203,-4.86,8.55,-0.71
27803,0,216,154,281,202,-4.86,8.71,-0.39
27904,128,213,152,277,202,-4.71,8.79,-0.67
28003,155,214,153,275,201,-4.86,8.83,-0.31
28103,155,214,150,274,201,-4.63,8.67,-0.31
28204,151,206,148,263,194,-4.82,8.94,-0.31
28303,154,209,150,270,197,-4.59,8.98,-0.67
28403,154,210,152,268,194,-4.75,8.63,-0.63
28603,160,217,154,278,202,-5.02,8.79,-0.24
28703,158,215,156,271,200,-4.82,8.71,-0.24
28803,159,212,156,277,202,-4.79,8.63,-0.51
28903,159,215,158,281,203,-4.63,8.55,-0.78
29003,154,210,152,269,195,-4.55,8.43,-0.82
29103,152,209,152,265,195,-4.59,8.67,-0.94
29203,152,208,153,270,197,-4.63,8.55,-0.98
29303,152,209,151,270,195,-4.75,8.43,-1.1
29403,154,208,150,269,195,-4.75,8.55,-1.22
29503,152,208,153,269,195,-4.79,8.51,-1.26
29603,154,210,152,267,195,-4.63,8.55,-1.45
29703,152,210,152,267,195,-4.71,8.47,-1.33
29803,154,208,151,267,194,-4.55,8.51,-1.14
29903,151,207,152,267,192,-4.28,8.39,-1.45
30003,151,207,150,264,193,-5.22,8.47,-0.47
30103,146,203,149,263,191,-4.79,8.9,-0.55
30203,149,204,149,268,195,-5.1,8.9,-0.39
30303,154,214,155,277,201,-4.79,8.79,-0.59
30403,153,214,156,277,200,-4.67,8.75,-0.82
30503,152,214,154,278,202,-4.82,8.79,-0.86
30603,154,216,154,276,201,-5.1,8.9,-0.86
30703,157,212,157,275,198,-3.61,8.24,-2.04
30803,156,214,154,275,200,-3.92,8.43,-1.8
30903,152,210,156,277,203,-3.84,8.55,-2.08
31003,156,214,153,275,201,-4.08,8.36,-2.47
31104,157,214,151,275,200,-4.35,8.43,-2.59
31203,157,215,152,275,200,-4.08,8.47,-2.71
31303,158,215,153,276,200,-3.26,8.39,-2.9
31404,158,214,147,275,200,-3.02,8.51,-3.14
31503,159,215,152,275,201,-2.43,8.47,-3.65
31603,157,216,152,275,200,-1.92,8.39,-3.77
31803,180,215,152,275,201,-1.69,8.59,-3.8
31903,180,215,152,275,201,-1.53,8.63,-3.8
32003,181,215,145,276,201,-1.06,8.71,-4.16
32103,180,215,151,274,201,-1.1,8.79,-4.2
32203,181,207,152,276,201,-0.94,8.67,-4.08
32303,164,216,151,275,201,-0.59,8.79,-4.04
32403,160,216,151,276,201,-0.67,8.71,-4.08
32503,182,216,150,275,202,-0.94,8.75,-3.88
32603,181,215,150,276,202,-0.27,9.1,-3.96
32703,180,215,149,276,201,0.35,8.98,-3.84
32803,181,215,149,276,201,0.51,9.06,-3.33
32903,179,215,150,274,200,1.22,9.26,-3.53
33003,179,216,149,276,201,1.84,9.22,-3.26
33103,179,215,149,275,200,1.49,9.06,-3.18
33203,136,204,142,252,189,1.69,9.1,-3.14
33303,169,199,142,264,192,1.73,9.53,-3.1
33403,170,209,146,266,195,2.35,9.38,-3.18
33503,170,212,147,271,198,2.28,9.1,-3.06
33603,167,204,144,264,193,2,9.3,-2.79
33703,177,217,152,278,203,1.77,9.14,-2.98
33803,176,218,152,278,202,1.57,9.3,-3.14
33903,177,218,153,277,202,2.08,9.22,-3.1
34003,170,218,153,281,202,2.16,9.38,-3.06
34103,177,219,150,279,202,2.08,9.14,-3.06
34203,178,218,152,277,203,1.88,9.18,-3.06
34304,175,219,155,274,203,1.57,9.1,-3.33
34403,176,219,153,278,202,1.57,8.98,-3.41
34503,177,217,153,283,204,2.04,9.02,-3.49
34604,179,219,156,274,203,2.08,8.94,-3.88
34703,175,216,153,279,204,1.96,8.87,-4.2
34803,178,218,154,278,202,2.04,8.43,-5.1
35003,173,217,153,277,203,1.53,7.41,-6.2
35103,175,216,154,275,203,1.57,6.9,-6.75
35203,176,218,153,279,204,2,6.51,-6.71
35303,176,218,151,278,203,1.96,5.92,-6.94
35403,182,216,154,277,202,2.28,5.33,-7.26
35503,176,213,155,276,202,2,4.67,-7.53
35603,174,217,155,275,202,2.16,4.16,-7.53
35703,180,217,152,277,203,2.35,3.41,-8.47
35803,175,217,154,278,203,2.04,2.63,-8.59
35903,176,216,153,279,203,2.28,2.28,-9.26
36003,177,217,159,276,203,2.9,1.45,-7.88
36103,175,215,154,276,203,2.9,1.14,-7.61
36203,179,217,154,276,203,2.63,0.86,-8.83
36303,176,217,154,279,202,2.79,0.51,-8.75
36403,172,217,154,263,203,2.82,0.67,-8.67
36503,173,218,151,274,201,2.71,0.59,-8.71
36603,173,216,152,273,200,2.79,0.78,-8.36
36703,174,215,153,274,201,2.63,0.63,-8.9
36803,175,217,153,275,202,2.82,0.55,-8.75
36903,178,214,153,278,203,2.51,0.51,-8.71
37003,175,217,154,274,203,2.31,0.39,-8.63
37103,174,217,155,276,203,2.59,0.59,-8.79
37203,176,218,158,275,203,2.71,0.43,-8.63
37303,176,217,155,277,202,1.77,0.27,-9.02
37403,175,218,157,276,203,0.82,0.31,-9.14
37504,178,220,156,277,202,1.14,0.16,-9.02
37603,175,218,156,278,204,0.55,-0.04,-8.98
37703,176,221,156,278,205,-0.04,0,-9.18
37804,178,218,156,277,203,-0.47,-0.31,-8.94
37903,175,215,155,277,204,-1.37,-0.55,-8.63
38003,155,217,157,269,201,-3.92,-1.06,-8.39
38203,23,217,156,274,200,-7.1,-1.41,-5.41
38303,167,216,156,277,203,-6.9,-1.53,-4.51
38403,173,212,156,278,203,-8.32,-1.29,-3.1
38503,173,217,157,277,203,-8,-1.14,-4.08
38603,173,216,155,277,202,-8.63,-1.14,-4.2
38703,172,216,155,276,204,-8.24,-1.22,-4.12
38803,173,217,156,277,203,-8.36,-1.18,-4.2
38903,174,216,154,276,203,-8.04,-1.41,-4
39003,173,217,154,277,205,-8.39,-1.33,-4.04
39103,173,217,155,277,203,-8.24,-1.26,-4.2
39203,172,214,154,274,203,-8.24,-1.29,-4.16
39303,174,215,154,277,204,-8.08,-1.49,-4.04
39403,175,217,154,275,202,-8.08,-1.53,-4.16
39503,172,216,153,277,202,-8.24,-1.41,-4.28
39603,170,216,153,275,201,-8.28,-1.29,-4.04
39703,170,214,152,274,201,-8.32,-1.49,-3.84
39803,169,214,152,274,201,-8.67,-1.53,-3.92
39903,170,214,152,275,202,-8.2,-1.37,-3.88
40003,169,215,147,275,201,-8.32,-1.33,-3.92
40103,172,214,152,274,195,-8.47,-1.49,-3.8
40203,172,214,152,274,202,-8.32,-1.45,-3.65
40303,174,216,153,278,204,-8.55,-1.45,-3.53
40403,173,215,150,277,202,-8.75,-1.37,-3.73
40503,162,216,152,278,203,-8.71,-1.41,-3.61
40603,174,215,152,278,203,-8.51,-1.41,-3.69
40704,174,216,153,278,204,-8.59,-1.26,-3.65
40803,173,216,153,277,204,-8.28,-1.49,-3.53
40903,174,217,152,278,204,-8.67,-1.37,-2.67
41004,177,217,151,280,204,-9.3,-1.26,-1.77
41103,177,216,153,263,205,-9.26,-1.1,0.04
41203,179,216,152,280,205,-9.81,-0.82,1.65
41403,178,216,132,280,206,-9.41,-0.63,4.55
41503,177,214,135,278,206,-8.71,-0.24,5.33
41603,178,214,148,279,206,-8.2,-0.2,6.47
41703,175,213,150,276,203,-7.81,-0.12,6.55
41803,176,213,151,278,205,-7.06,-0.08,7.34
41903,177,215,152,280,206,-7.14,-0.04,7.61
42003,174,212,151,276,203,-7.18,0.08,8.08
42103,173,211,149,275,202,-6.83,0.12,7.92
42203,195,212,150,277,203,-6.43,0.04,8.04
42303,171,207,146,271,199,-6.51,-0.16,7.92
42403,175,211,151,276,203,-6.75,-0.2,8.28
42503,176,215,151,277,203,-6.39,-0.31,8.12
42603,172,208,147,273,200,-6.94,-0.35,8.32
42703,168,202,144,260,192,-6.67,-0.43,8.16
42803,175,211,150,279,204,-6.71,-0.47,8
42903,171,207,148,272,200,-6.63,-0.55,8.16
43003,172,204,149,271,199,-6.63,-0.75,8.08
43103,175,210,149,278,203,-6.55,-0.78,8.47
43203,176,211,151,274,203,-6.35,-0.94,8.24
43303,175,211,151,276,204,-6.35,-1.18,8.43
43403,168,206,146,263,198,-6.39,-1.22,8.47
43503,171,209,151,272,200,-6.47,-1.49,8.59
43603,176,210,153,279,204,-5.92,-2,8.87
43703,175,212,152,278,204,-5.41,-2.08,9.02
43803,175,212,154,278,204,-4.98,-2.43,8.9
43904,175,212,151,279,204,-5.45,-2.82,8.83
44003,171,208,148,274,200,-5.1,-3.57,9.26
44103,168,202,144,265,195,-4.31,-4.55,8.63
44204,174,209,147,273,202,-3.26,-6.12,8.51
44303,168,204,146,267,196,-2.63,-6.71,8.2
44403,172,208,145,272,200,-1.92,-7.3,8.24
44603,165,200,145,270,197,-0.98,-8.67,6.51
44703,170,209,150,257,201,-0.31,-9.06,6.39
44803,173,211,151,276,203,0.2,-9.14,6.43
44903,170,207,148,268,196,-0.08,-9.34,5.81
45003,175,218,154,281,207,0.27,-9.61,6.16
45103,175,215,155,280,206,0.43,-9.53,6.35
45203,177,215,153,280,204,0.75,-9.45,6.04
45303,176,216,155,282,207,0.82,-9.41,5.81
45403,174,215,154,280,206,0.47,-9.49,5.92
45503,178,218,156,282,206,0,-9.41,5.81
45603,172,211,153,275,200,0.43,-9.34,5.96
45703,171,212,152,274,201,0.39,-9.41,5.69
45803,172,211,153,274,201,0.47,-9.49,6.04
45903,173,210,153,274,201,0.75,-9.45,6.04
46003,170,205,148,266,194,0.94,-9.3,6.2
46103,168,199,148,265,195,0.35,-9.14,6.47
46203,171,207,151,270,197,0.82,-9.41,6.28
46303,171,211,152,271,198,0.59,-9.14,6.2
46403,169,215,154,277,202,0.43,-9.18,6.24
46503,173,214,154,278,205,0.43,-8.98,6.32
46603,175,212,153,276,204,-0.12,-9.3,6.35
46703,174,211,154,278,204,-0.39,-8.87,6.51
46803,176,213,156,280,206,-0.43,-8.67,6.63
46903,174,212,155,282,206,-0.78,-8.71,7.14
47003,174,206,154,277,204,-1.49,-7.49,7.69
47104,168,201,146,266,195,-2.47,-6.79,8.36
47203,172,211,155,279,206,-4.16,-5.77,8.2
47303,174,211,145,278,206,-5.18,-4.28,8.04
47404,161,194,145,262,197,-5.84,-2.86,8.51
47503,166,209,149,276,202,-6.08,-1.37,8.9
47603,175,213,154,284,208,-6.75,-0.35,7.81
47803,177,213,154,285,208,-6.83,2,7.02
47903,174,213,155,283,209,-6.71,2.79,6.86
48003,175,212,154,284,209,-6.79,3.8,6.71
48103,174,216,154,283,207,-6.55,3.84,6.28
48203,170,209,151,279,203,-5.84,4.86,5.45
48303,168,207,147,274,199,-6.08,6.2,5.96
48403,175,213,153,282,204,-5.77,6.28,4.9
48503,174,212,152,281,201,-5.49,6.83,4.28
48603,174,213,152,281,201,-6.39,7.45,4.08
48703,175,208,152,281,201,-5.81,7.69,4.08
48803,174,213,151,281,200,-5.73,7.85,3.06
48903,176,214,153,281,200,-5.57,8.36,2.67
49003,176,214,152,281,200,-5.41,9.22,2.51
49103,176,213,138,281,199,-5.33,8.39,2.08
49203,176,214,152,280,200,-5.69,8.83,0.47
49303,176,215,151,281,199,-5.57,8.04,-0.51
49403,175,212,149,278,198,-4.71,8.04,-0.08
49503,164,212,148,277,197,-4.55,8.24,-0.24
49603,177,213,148,279,199,-5.37,8.39,-0.82
49703,152,215,150,279,199,-5.57,9.26,-0.86
49803,180,215,149,265,199,-5.06,9.18,-0.9
49903,178,213,134,276,198,-4.67,8.59,-1.65
50003,180,215,149,276,198,-4.24,8.08,-2.43
50103,181,216,148,278,198,-4.35,8.2,-2.04
50203,161,215,148,277,198,-4.75,8.28,-1.96
50304,180,214,148,277,197,-4.67,8.08,-1.88
50403,181,214,149,277,199,-4.67,8.08,-2.08
50503,182,216,150,279,200,-4.98,8.08,-2.16
50604,182,216,152,278,199,-4.75,8.04,-2.04
50703,175,216,154,279,199,-4.55,8.08,-2
50803,179,216,150,278,199,-4.63,7.96,-2.47
51003,179,216,150,278,199,-4.63,8.08,-2.79
51103,176,217,151,278,200,-4.82,7.92,-3.37
51203,178,215,150,276,198,-4.82,7.14,-3.96
51303,179,221,151,277,198,-4.47,6.83,-4.51
51403,178,216,151,276,199,-4,6.32,-4.67
51503,179,217,151,276,199,-4.67,6.98,-4.35
51603,178,214,150,276,198,-4.28,6.63,-5.14
51703,167,214,152,275,198,-4.04,6.94,-5.26
51803,186,214,151,275,198,-4,6.9,-5.65
51903,178,204,143,263,189,-4.71,6.71,-5.84
52003,178,210,146,268,194,-3.73,5.69,-6.24
52103,183,213,149,271,194,-2.59,5.49,-7.26
52203,180,210,147,267,194,-0.2,4.82,-7.3
52303,172,199,142,254,185,-0.71,4.28,-7.96
52403,163,202,143,258,187,-0.59,4.47,-8.04
52503,175,203,143,258,188,0.43,3.22,-8
52603,172,201,141,254,184,0.39,4.12,-7.92
52703,167,197,139,251,181,1.65,3.69,-8.16
52803,180,209,148,262,194,1.14,3.84,-8.63
52903,179,213,149,269,198,1.26,4.39,-8.79
53003,177,207,146,263,192,2.35,2.28,-8.59
