millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z
103,161,210,156,276,209,-0.82,-9.92,3.69
203,161,210,156,276,208,-1.1,-10.2,4
303,161,210,156,276,208,-0.82,-10.16,3.8
403,161,210,156,276,209,-0.98,-10.16,4
503,161,210,156,276,209,-0.82,-10.2,3.92
603,161,210,156,276,208,-0.63,-10.08,3.92
703,161,210,156,276,209,-0.82,-10.28,4.16
803,161,210,156,276,209,-0.55,-10.08,3.84
903,161,210,156,276,209,-0.82,-10.2,4.2
1003,161,210,156,276,209,-0.75,-10.16,4.31
1103,161,210,156,277,210,-0.63,-10.04,4.55
1203,161,212,156,278,211,-0.71,-9.65,2.9
1303,161,214,157,280,214,-2.31,-8.32,1.26
1403,162,215,157,281,218,-2.9,-6,-4.9
1503,163,218,157,283,222,-1.84,-3.96,-9.49
1603,164,219,158,284,222,-0.71,-2.67,-9.85
1703,164,218,158,284,222,-0.39,-2.43,-8.83
1803,164,218,158,284,221,-0.35,-2.51,-8.67
1903,164,217,156,283,221,0.31,-1.49,-10.36
2003,164,213,156,279,215,-0.86,-4.28,-11.81
2103,164,210,155,275,209,-0.86,-7.73,-4.04
2203,165,209,155,274,206,-1.65,-7.61,1.37
2304,166,209,155,273,205,-3.26,-9.53,2.43
2403,166,209,155,273,205,-3.96,-9.96,0.86
2503,167,210,155,274,206,-3.22,-9.3,0.08
2604,172,210,156,274,206,-4.16,-6.43,-1.45
2703,174,210,156,274,205,-7.77,-5.37,-3.33
2803,173,210,156,274,206,-10.59,-4.47,-3.69
3003,171,210,156,274,206,-10.16,-4.94,-3.3
3103,173,210,155,273,206,-8.79,-7.34,-0.98
3203,183,210,155,274,205,-2.94,-8.28,1.29
3303,182,210,155,274,206,-2.39,-9.26,0.67
3403,181,210,155,276,211,-5.77,-10.32,-2.31
3503,178,211,157,284,218,-3.3,-8.9,-2.08
3603,171,212,156,281,214,-2.82,-7.49,3.73
3703,169,211,156,278,211,0.71,-8.39,6.55
3803,169,211,156,277,210,2.04,-8.39,8.67
3903,167,211,156,277,210,3.02,-8.24,8.04
4003,168,212,157,276,208,1.06,-8.98,6.43
4103,169,226,159,290,219,-1.33,-10.24,5.45
4203,170,227,159,292,222,0.12,-10.24,0.39
4303,172,229,159,290,220,-1.14,-10.12,-1.22
4403,173,231,159,290,222,-1.33,-10.08,-2.12
4503,174,232,159,289,223,-0.86,-9.53,-2.9
4603,174,232,159,288,222,-0.59,-9.61,-3.1
4703,172,231,159,288,223,-0.12,-9.77,-2.79
4803,165,223,158,284,216,0.67,-9.92,-2.51
4903,163,215,157,278,207,-0.71,-11.14,0.9
5003,163,212,156,274,203,-2.16,-11.26,3.41
5103,162,211,156,273,203,-2.08,-8.79,-0.08
5203,162,211,155,273,204,-5.92,-7.49,-2.9
5303,162,211,155,273,204,-6.12,-8.67,-1.06
5403,162,210,155,272,203,-4.98,-8.75,-0.94
5504,164,210,155,271,202,-4.39,-6.83,-2.79
5603,168,211,155,272,203,-7.3,-3.53,-5.53
5703,170,212,155,272,204,-6.2,1.18,-7.69
5804,169,212,155,272,205,-7.1,0.43,-6.67
5903,169,212,155,272,205,-6.28,-0.35,-6.24
6003,169,212,155,273,205,-6.43,-0.86,-6
6203,168,212,155,272,205,-6.43,-0.08,-6.55
6303,167,211,155,272,205,-6.51,-0.71,-6.24
6403,166,211,155,272,205,-6.55,-1.57,-6.39
6503,165,211,155,272,205,-6.83,-3.45,-6
6603,164,211,155,272,204,-7.14,-5.92,-3.02
6703,163,211,154,272,204,-6.9,-7.26,-0.55
6803,163,211,155,272,205,-6.86,-8.12,-0.24
6903,163,211,154,272,205,-7.3,-8.75,-0.35
7003,162,211,154,272,205,-5.33,-8.9,0.9
7103,162,210,154,271,203,-3.06,-9.18,1.77
7203,162,209,154,270,202,-2.67,-8.55,6.08
7303,162,210,154,270,201,-3.02,-8.2,7.49
7403,162,210,154,270,202,-2.98,-8.08,7.41
7503,162,209,155,270,201,-2.51,-7.26,7.34
7603,164,209,154,270,200,-2.47,-6.83,7.81
7703,167,209,155,270,199,-3.14,-5.77,8.83
7803,169,208,155,270,199,-3.84,-4.67,9.61
7903,170,208,155,270,199,-3.92,-4.28,9.81
8003,170,208,155,270,199,-4.04,-4.39,9.65
8103,170,209,155,270,199,-3.8,-4.67,9.22
8203,170,209,155,270,199,-3.84,-4.86,9.45
8303,169,208,156,270,199,-4,-5.02,9.34
8403,167,209,155,271,200,-3.65,-5.33,8.98
8503,166,209,156,272,201,-2.79,-6.24,9.1
8603,166,210,156,275,204,-2.31,-7.18,8.24
8704,168,212,157,279,207,-0.63,-7.85,8.67
8803,168,213,157,279,208,-0.04,-8.94,6.51
8903,168,214,156,279,207,1.45,-9.18,6.16
9004,163,209,154,275,204,2.28,-9.34,6.28
9103,163,212,155,277,207,3.61,-9.57,5.69
9203,162,213,157,277,207,4.16,-9.45,3.8
9403,161,212,156,274,206,3.8,-9.85,4.2
9503,160,211,156,274,207,4.67,-9.38,4.28
9603,160,211,156,274,208,4.75,-9.22,4.2
9703,160,211,156,274,208,5.02,-9.14,4.55
9803,160,211,155,275,209,5.14,-9.1,4.55
9903,160,211,155,275,210,4.86,-9.02,5.18
10003,159,211,155,275,210,5.22,-8.98,4.94
10103,159,211,155,275,209,5.45,-8.98,4.71
10203,159,211,155,275,210,5.53,-9.22,5.02
10303,160,211,155,275,209,5.61,-9.69,5.26
10403,160,212,156,278,210,2.43,-9.96,2.71
10503,161,217,157,283,217,0.67,-10.16,-0.16
10603,161,221,157,286,223,0.35,-9.57,-2.04
10703,163,221,157,285,223,0.78,-8.87,-3.73
10803,165,220,157,284,222,0.43,-9.81,-3.14
10903,165,221,157,284,222,0.27,-9.96,-2.98
11003,165,220,157,284,221,0.12,-9.77,-3.26
11103,165,221,157,284,222,0.43,-9.41,-3.69
11203,165,221,157,284,222,-0.55,-9.45,-3.84
11303,165,221,157,284,222,-0.82,-9.41,-3.8
11403,165,222,157,284,222,-0.78,-8.94,-4.12
11503,165,221,157,283,221,-0.98,-9.3,-3.8
11603,164,218,156,281,218,-0.71,-9.3,-3.02
11703,163,215,156,279,214,-1.61,-8.98,-2.47
11803,163,212,155,277,211,-2.67,-8.55,-2.9
11904,163,211,154,275,210,-4.43,-8.24,-2.94
12003,162,210,154,274,209,-5.69,-7.14,-3.45
12103,162,210,154,273,209,-5.57,-6.04,-3.88
12204,161,210,153,273,209,-6.55,-4.98,-4.75
12303,161,210,153,274,210,-7.26,-4.39,-4.75
12403,161,210,153,274,211,-7.57,-4.31,-4.71
