millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z
9403,220,191,204,143,200,-1.57,-10.4,2.51
9503,221,191,204,144,200,-1.65,-10.4,2.35
9603,221,190,203,144,200,-1.69,-10.43,2.2
9703,220,191,204,143,200,-1.65,-10.63,2.59
9803,221,191,205,143,200,-1.45,-10.51,2.59
9903,220,190,204,144,200,-1.41,-10.59,1.77
10003,221,190,204,144,200,-1.57,-10.2,2.94
10103,221,190,204,143,200,-1.69,-10.4,1.88
10203,221,190,205,143,200,-1.53,-10.4,2.39
10303,221,190,204,143,200,-1.49,-10.4,2.04
10403,221,189,204,143,200,-1.57,-10.47,2.31
10503,221,191,204,144,200,-1.61,-10.47,2.2
10603,220,190,204,143,200,-1.53,-10.36,2.2
10703,221,190,204,144,200,-1.65,-10.4,2.16
10803,220,191,204,143,200,-1.69,-10.47,2.24
10903,220,191,204,143,200,-1.61,-10.36,2.24
11003,221,190,204,144,200,-1.65,-10.43,2
11103,220,190,203,144,200,-1.69,-10.47,2
11203,220,191,205,143,200,-1.57,-10.4,2.16
11303,221,191,204,144,200,-1.65,-10.51,2.12
11403,220,189,206,142,201,-1.57,-10.43,2.08
11503,221,190,206,144,200,-1.69,-10.4,2.35
11603,219,191,205,143,200,-1.53,-10.36,2.31
11703,221,189,206,143,200,-1.69,-10.4,2.16
11803,220,190,205,143,201,-1.77,-10.4,2.35
11904,222,192,205,144,200,-1.41,-10.47,2.08
12003,221,190,206,143,201,-1.73,-10.47,2.16
12103,220,189,205,144,200,-1.61,-10.47,2.2
12204,222,190,204,143,200,-1.61,-10.47,2.24
12303,221,190,204,144,200,-1.49,-10.47,2.04
12403,221,191,204,144,200,-1.77,-10.4,2.16
12603,222,189,207,144,200,-1.73,-10.4,2.08
12703,221,191,204,143,199,-1.65,-10.47,2.16
12803,221,191,204,142,199,-1.61,-10.43,2.2
12903,219,191,203,144,201,-1.65,-10.43,2.28
13003,221,188,203,144,199,-1.61,-10.36,2.28
13103,221,191,204,144,200,-1.73,-10.43,2.24
13203,221,191,204,143,200,-1.57,-10.43,2.16
13303,221,190,204,143,198,-1.61,-10.43,2.24
13403,221,190,204,144,200,-1.65,-10.4,2.35
13503,220,190,204,144,200,-1.65,-10.43,2.28
13603,219,190,203,143,199,-1.65,-10.4,2.28
13703,221,190,205,144,200,-1.41,-10.36,2.35
13803,220,190,203,144,201,-1.49,-10.4,2.28
13903,221,191,205,144,199,-2.12,-10.51,2.55
14003,221,190,204,143,199,-1.8,-10.28,2.35
14103,220,190,204,144,200,-2.08,-10.36,1.88
14203,221,190,204,143,200,-2.2,-10.32,1.33
14303,221,189,204,143,201,-2.08,-10,1.69
14403,220,190,203,144,200,-2.67,-9.69,0.75
14503,220,190,204,143,199,-4,-9.3,0
14603,220,190,202,144,200,-5.26,-8.59,0
14703,220,190,202,144,200,-6.2,-8.2,-0.43
14803,220,190,204,143,200,-6.79,-7.77,-0.59
14903,221,189,205,144,200,-6.67,-6.98,-1.1
15003,221,189,205,143,199,-7.61,-6.59,-0.78
15104,220,190,204,143,200,-8.83,-5.77,-1.49
15203,220,189,204,143,200,-7.73,-5.69,-1.61
15303,220,190,202,144,202,-8.83,-5.49,-1.49
15404,220,190,204,143,201,-8.16,-5.37,-1.69
15503,220,190,204,144,201,-7.45,-5.14,-2.04
15603,220,190,203,143,200,-10,-5.3,-2.63
15803,219,190,205,144,200,-8.2,-5.84,-0.27
15903,221,191,204,143,201,-7.06,-7.02,0.35
16003,221,190,205,144,201,-5.92,-8.04,0.94
16103,219,190,205,143,201,-3.92,-8.79,1.92
16203,220,189,205,143,200,-2.51,-9.65,2.98
