millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z,mlabel,infile,norm_Ngon_1,norm_Ngon_2,norm_Ngon_3,norm_Ngon_4,norm_Ngon_5,norm_X,norm_Y,norm_Z,bin_0_norm_Ngon_1,bin_1_norm_Ngon_1,bin_2_norm_Ngon_1,bin_3_norm_Ngon_1,bin_0_norm_Ngon_2,bin_1_norm_Ngon_2,bin_2_norm_Ngon_2,bin_3_norm_Ngon_2,bin_0_norm_Ngon_3,bin_1_norm_Ngon_3,bin_2_norm_Ngon_3,bin_3_norm_Ngon_3,bin_0_norm_Ngon_4,bin_1_norm_Ngon_4,bin_2_norm_Ngon_4,bin_3_norm_Ngon_4,bin_0_norm_Ngon_5,bin_1_norm_Ngon_5,bin_2_norm_Ngon_5,bin_3_norm_Ngon_5,bin_0_norm_X,bin_1_norm_X,bin_2_norm_X,bin_3_norm_X,bin_0_norm_Y,bin_1_norm_Y,bin_2_norm_Y,bin_3_norm_Y,bin_0_norm_Z,bin_1_norm_Z,bin_2_norm_Z,bin_3_norm_Z,longestPosEdge,longestNegEdge,longestPosCount,longestNegCount,label
3,240,182,198,138,177,-0.04,-10.79,2.39,0,b_0_labelled.csv,0.7,0.6516666666666666,0.665,0.615,0.6475,0.49979999999999997,0.44605000000000006,0.51195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,240,182,198,139,176,-0.2,-10.83,2.43,0,b_0_labelled.csv,0.7,0.6516666666666666,0.665,0.6158333333333333,0.6466666666666666,0.499,0.44585,0.51215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,242,182,197,138,176,0.2,-10.4,1.53,0,b_0_labelled.csv,0.7016666666666667,0.6516666666666666,0.6641666666666667,0.615,0.6466666666666666,0.501,0.44799999999999995,0.50765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,242,181,197,138,174,-0.12,-10.67,1.88,0,b_0_labelled.csv,0.7016666666666667,0.6508333333333334,0.6641666666666667,0.615,0.645,0.49939999999999996,0.44665,0.5094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,242,181,197,139,175,-0.59,-10.59,2.51,0,b_0_labelled.csv,0.7016666666666667,0.6508333333333334,0.6641666666666667,0.6158333333333333,0.6458333333333334,0.49705,0.44705,0.5125500000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503,241,181,197,138,175,-0.35,-10.47,2.24,0,b_0_labelled.csv,0.7008333333333333,0.6508333333333334,0.6641666666666667,0.615,0.6458333333333334,0.49825,0.44765,0.5112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603,239,181,197,139,175,-0.08,-10.55,2.24,0,b_0_labelled.csv,0.6991666666666667,0.6508333333333334,0.6641666666666667,0.6158333333333333,0.6458333333333334,0.4996,0.44725000000000004,0.5112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
703,239,182,197,139,174,-0.67,-10.71,2.47,0,b_0_labelled.csv,0.6991666666666667,0.6516666666666666,0.6641666666666667,0.6158333333333333,0.645,0.49665,0.44644999999999996,0.51235,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,7,1,0,0,8,0,0,0,0,8,0,0,-1,8,0,0
803,265,181,197,138,174,0.04,-10.55,2.08,0,b_0_labelled.csv,0.7208333333333333,0.6508333333333334,0.6641666666666667,0.615,0.645,0.5002,0.44725000000000004,0.5104,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,6,2,0,0,8,0,0,0,0,8,0,0,-1,8,0,0
903,290,182,196,138,183,0.43,-10.75,1.65,3,b_0_labelled.csv,0.7416666666666667,0.6516666666666666,0.6633333333333333,0.615,0.6525,0.50215,0.44625,0.50825,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,5,3,0,0,8,0,0,0,0,8,0,0,-1,8,0,0
