millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z,mlabel,infile,norm_Ngon_1,norm_Ngon_2,norm_Ngon_3,norm_Ngon_4,norm_Ngon_5,norm_X,norm_Y,norm_Z,bin_0_norm_Ngon_1,bin_1_norm_Ngon_1,bin_2_norm_Ngon_1,bin_3_norm_Ngon_1,bin_4_norm_Ngon_1,bin_5_norm_Ngon_1,bin_6_norm_Ngon_1,bin_7_norm_Ngon_1,bin_8_norm_Ngon_1,bin_9_norm_Ngon_1,bin_0_norm_Ngon_2,bin_1_norm_Ngon_2,bin_2_norm_Ngon_2,bin_3_norm_Ngon_2,bin_4_norm_Ngon_2,bin_5_norm_Ngon_2,bin_6_norm_Ngon_2,bin_7_norm_Ngon_2,bin_8_norm_Ngon_2,bin_9_norm_Ngon_2,bin_0_norm_Ngon_3,bin_1_norm_Ngon_3,bin_2_norm_Ngon_3,bin_3_norm_Ngon_3,bin_4_norm_Ngon_3,bin_5_norm_Ngon_3,bin_6_norm_Ngon_3,bin_7_norm_Ngon_3,bin_8_norm_Ngon_3,bin_9_norm_Ngon_3,bin_0_norm_Ngon_4,bin_1_norm_Ngon_4,bin_2_norm_Ngon_4,bin_3_norm_Ngon_4,bin_4_norm_Ngon_4,bin_5_norm_Ngon_4,bin_6_norm_Ngon_4,bin_7_norm_Ngon_4,bin_8_norm_Ngon_4,bin_9_norm_Ngon_4,bin_0_norm_Ngon_5,bin_1_norm_Ngon_5,bin_2_norm_Ngon_5,bin_3_norm_Ngon_5,bin_4_norm_Ngon_5,bin_5_norm_Ngon_5,bin_6_norm_Ngon_5,bin_7_norm_Ngon_5,bin_8_norm_Ngon_5,bin_9_norm_Ngon_5,bin_0_norm_X,bin_1_norm_X,bin_2_norm_X,bin_3_norm_X,bin_4_norm_X,bin_5_norm_X,bin_6_norm_X,bin_7_norm_X,bin_8_norm_X,bin_9_norm_X,bin_0_norm_Y,bin_1_norm_Y,bin_2_norm_Y,bin_3_norm_Y,bin_4_norm_Y,bin_5_norm_Y,bin_6_norm_Y,bin_7_norm_Y,bin_8_norm_Y,bin_9_norm_Y,bin_0_norm_Z,bin_1_norm_Z,bin_2_norm_Z,bin_3_norm_Z,bin_4_norm_Z,bin_5_norm_Z,bin_6_norm_Z,bin_7_norm_Z,bin_8_norm_Z,bin_9_norm_Z,longestPosEdge,longestNegEdge,longestPosCount,longestNegCount,label
225003,179,246,319,465,329,-6.9,-4.75,6.08,5,yêu_1_05_labelled.csv,0.358,0.41,0.638,0.775,0.5483333333333333,0.3275,0.38125,0.6519999999999999,0,0,0,10,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,5,1,1,2,1,0,0,0,0,0,0,0,6,0,2,2,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,-1,-1,0,0,0
225103,179,249,320,476,360,-7.02,-5.37,5.96,5,yêu_1_05_labelled.csv,0.358,0.415,0.64,0.7933333333333333,0.6,0.3245,0.36574999999999996,0.649,0,0,0,10,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,4,1,1,2,2,0,0,0,0,0,0,0,5,0,2,3,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,-1,-1,0,0,5
225203,172,239,301,454,364,-7.14,-5.49,5.88,5,yêu_1_05_labelled.csv,0.344,0.3983333333333333,0.602,0.7566666666666667,0.6066666666666667,0.3215,0.36275,0.647,0,0,0,10,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,3,1,1,2,3,0,0,0,0,0,0,0,4,0,2,4,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,-1,-1,0,0,5
225303,169,235,296,442,365,-7.22,-5.1,6.0,5,yêu_1_05_labelled.csv,0.338,0.39166666666666666,0.592,0.7366666666666667,0.6083333333333333,0.3195,0.3725,0.65,0,0,0,10,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,2,1,1,3,3,0,0,0,0,0,0,0,3,0,2,5,0,0,0,0,0,0,6,2,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,-1,-1,0,0,5
225403,172,235,299,450,374,-7.26,-5.02,6.43,5,yêu_1_05_labelled.csv,0.344,0.39166666666666666,0.598,0.75,0.6233333333333333,0.3185,0.3745,0.66075,0,0,0,10,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,1,1,1,4,3,0,0,0,0,0,0,0,2,0,2,6,0,0,0,0,0,0,5,2,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,-1,-1,0,0,5
225503,172,239,299,449,362,-7.22,-5.22,6.2,5,yêu_1_05_labelled.csv,0.344,0.3983333333333333,0.598,0.7483333333333333,0.6033333333333334,0.3195,0.36950000000000005,0.655,0,0,0,10,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,1,1,5,3,0,0,0,0,0,0,0,1,0,2,7,0,0,0,0,0,0,4,2,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,-1,-1,0,0,5
225603,174,239,298,440,322,-7.02,-5.14,6.63,5,yêu_1_05_labelled.csv,0.348,0.3983333333333333,0.596,0.7333333333333333,0.5366666666666666,0.3245,0.3715,0.66575,0,0,0,10,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,1,6,3,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,-1,-1,0,0,5
225703,176,232,271,419,300,-6.71,-5.69,5.88,5,yêu_1_05_labelled.csv,0.352,0.38666666666666666,0.542,0.6983333333333334,0.5,0.33225,0.35774999999999996,0.647,0,0,0,10,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,2,4,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,-1,-1,0,0,5
225803,169,217,205,344,280,-6.47,-5.61,6.0,0,yêu_1_05_labelled.csv,0.338,0.3616666666666667,0.41,0.5733333333333334,0.4666666666666667,0.33825000000000005,0.35975,0.65,0,0,0,10,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,1,6,3,0,0,0,0,0,0,0,0,1,1,8,0,0,0,0,0,0,2,4,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,-1,-1,0,0,5
225903,168,209,162,291,279,-6.59,-5.81,5.84,0,yêu_1_05_labelled.csv,0.336,0.34833333333333333,0.324,0.485,0.465,0.33525,0.35475,0.646,0,0,0,10,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,1,1,5,3,0,0,0,0,0,0,0,1,1,1,7,0,0,0,0,0,0,2,4,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,-1,-1,0,0,5
