millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z,mlabel,infile,norm_Ngon_1,norm_Ngon_2,norm_Ngon_3,norm_Ngon_4,norm_Ngon_5,norm_X,norm_Y,norm_Z,bin_0_norm_Ngon_1,bin_1_norm_Ngon_1,bin_2_norm_Ngon_1,bin_3_norm_Ngon_1,bin_0_norm_Ngon_2,bin_1_norm_Ngon_2,bin_2_norm_Ngon_2,bin_3_norm_Ngon_2,bin_0_norm_Ngon_3,bin_1_norm_Ngon_3,bin_2_norm_Ngon_3,bin_3_norm_Ngon_3,bin_0_norm_Ngon_4,bin_1_norm_Ngon_4,bin_2_norm_Ngon_4,bin_3_norm_Ngon_4,bin_0_norm_Ngon_5,bin_1_norm_Ngon_5,bin_2_norm_Ngon_5,bin_3_norm_Ngon_5,bin_0_norm_X,bin_1_norm_X,bin_2_norm_X,bin_3_norm_X,bin_0_norm_Y,bin_1_norm_Y,bin_2_norm_Y,bin_3_norm_Y,bin_0_norm_Z,bin_1_norm_Z,bin_2_norm_Z,bin_3_norm_Z,longestPosEdge,longestNegEdge,longestPosCount,longestNegCount,label
4,227,191,203,145,203,-8.63,-5.02,-0.08,0,c_0_labelled.csv,0.6891666666666667,0.6591666666666667,0.6691666666666667,0.6208333333333333,0.6691666666666667,0.45685000000000003,0.47490000000000004,0.4996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,224,191,205,145,203,-8.55,-5.02,-0.16,0,c_0_labelled.csv,0.6866666666666666,0.6591666666666667,0.6708333333333333,0.6208333333333333,0.6691666666666667,0.45725,0.47490000000000004,0.49920000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,226,190,202,148,205,-8.43,-5.18,-0.27,0,c_0_labelled.csv,0.6883333333333334,0.6583333333333333,0.6683333333333333,0.6233333333333333,0.6708333333333333,0.45785,0.47409999999999997,0.49865000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,223,188,202,144,204,-8.67,-5.06,-0.2,0,c_0_labelled.csv,0.6858333333333333,0.6566666666666666,0.6683333333333333,0.62,0.67,0.45665,0.4747,0.499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,224,187,200,144,202,-8.71,-4.98,-0.55,0,c_0_labelled.csv,0.6866666666666666,0.6558333333333334,0.6666666666666666,0.62,0.6683333333333333,0.45644999999999997,0.47509999999999997,0.49725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503,226,187,204,143,203,-8.32,-5.14,-0.04,0,c_0_labelled.csv,0.6883333333333334,0.6558333333333334,0.67,0.6191666666666666,0.6691666666666667,0.45840000000000003,0.4743,0.49979999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603,225,191,203,144,202,-8.39,-5.1,-0.08,0,c_0_labelled.csv,0.6875,0.6591666666666667,0.6691666666666667,0.62,0.6683333333333333,0.45805,0.47450000000000003,0.4996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
703,226,187,203,146,202,-8.43,-5.02,-0.24,0,c_0_labelled.csv,0.6883333333333334,0.6558333333333334,0.6691666666666667,0.6216666666666667,0.6683333333333333,0.45785,0.47490000000000004,0.4988,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,8,0,0,0,8,0,0,0,-1,8,0,0
803,229,190,199,146,212,-8.43,-5.06,-0.24,0,c_0_labelled.csv,0.6908333333333333,0.6583333333333333,0.6658333333333334,0.6216666666666667,0.6766666666666666,0.45785,0.4747,0.4988,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,8,0,0,0,8,0,0,0,-1,8,0,0
903,249,201,224,158,236,-8.9,-5.1,-0.27,0,c_0_labelled.csv,0.7075,0.6675,0.6866666666666666,0.6316666666666667,0.6966666666666667,0.45549999999999996,0.47450000000000003,0.49865000000000004,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,8,0,0,0,8,0,0,0,-1,8,0,0
