millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z,mlabel,infile,norm_Ngon_1,norm_Ngon_2,norm_Ngon_3,norm_Ngon_4,norm_Ngon_5,norm_X,norm_Y,norm_Z,bin_0_norm_Ngon_1,bin_1_norm_Ngon_1,bin_2_norm_Ngon_1,bin_3_norm_Ngon_1,bin_0_norm_Ngon_2,bin_1_norm_Ngon_2,bin_2_norm_Ngon_2,bin_3_norm_Ngon_2,bin_0_norm_Ngon_3,bin_1_norm_Ngon_3,bin_2_norm_Ngon_3,bin_3_norm_Ngon_3,bin_0_norm_Ngon_4,bin_1_norm_Ngon_4,bin_2_norm_Ngon_4,bin_3_norm_Ngon_4,bin_0_norm_Ngon_5,bin_1_norm_Ngon_5,bin_2_norm_Ngon_5,bin_3_norm_Ngon_5,bin_0_norm_X,bin_1_norm_X,bin_2_norm_X,bin_3_norm_X,bin_0_norm_Y,bin_1_norm_Y,bin_2_norm_Y,bin_3_norm_Y,bin_0_norm_Z,bin_1_norm_Z,bin_2_norm_Z,bin_3_norm_Z,longestPosEdge,longestNegEdge,longestPosCount,longestNegCount,label
1503,221,412,419,304,348,-1.84,-10.32,3.45,2,a_0_labelled.csv,0.6841666666666667,0.8433333333333334,0.8491666666666666,0.7533333333333333,0.79,0.49079999999999996,0.4484,0.51725,0,0,8,0,0,0,0,8,0,0,0,8,0,0,1,7,0,0,0,8,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,2
1603,216,411,417,304,347,-1.8,-9.92,3.37,2,a_0_labelled.csv,0.68,0.8425,0.8475,0.7533333333333333,0.7891666666666667,0.491,0.45039999999999997,0.51685,0,0,8,0,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,2
1703,215,369,392,289,332,-2.12,-10.32,2.9,2,a_0_labelled.csv,0.6791666666666667,0.8075,0.8266666666666667,0.7408333333333333,0.7766666666666666,0.4894,0.4484,0.5145000000000001,0,0,8,0,0,0,0,8,0,0,0,8,0,0,1,7,0,0,0,8,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,2
1803,216,246,278,214,236,-2.86,-10.32,2.94,0,a_0_labelled.csv,0.68,0.705,0.7316666666666667,0.6783333333333333,0.6966666666666667,0.4857,0.4484,0.5146999999999999,0,0,8,0,0,0,1,7,0,0,1,7,0,0,2,6,0,0,1,7,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,2
1903,218,196,214,155,225,-2.31,-10.08,2.51,0,a_0_labelled.csv,0.6816666666666666,0.6633333333333333,0.6783333333333333,0.6291666666666667,0.6875,0.48845,0.4496,0.5125500000000001,0,0,8,0,0,0,2,6,0,0,2,6,0,0,3,5,0,0,2,6,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,2
2003,222,188,206,145,237,-2.2,-10.2,1.84,0,a_0_labelled.csv,0.685,0.6566666666666666,0.6716666666666666,0.6208333333333333,0.6975,0.489,0.449,0.5092,0,0,8,0,0,0,3,5,0,0,3,5,0,0,4,4,0,0,3,5,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,2
2103,221,188,204,145,209,-2.59,-10.04,2.39,0,a_0_labelled.csv,0.6841666666666667,0.6566666666666666,0.67,0.6208333333333333,0.6741666666666667,0.48705,0.44980000000000003,0.51195,0,0,8,0,0,0,4,4,0,0,4,4,0,0,5,3,0,0,4,4,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,2
2203,220,236,270,180,224,-2.51,-10.59,1.69,0,a_0_labelled.csv,0.6833333333333333,0.6966666666666667,0.725,0.65,0.6866666666666666,0.48745,0.44705,0.50845,0,0,8,0,0,0,5,3,0,0,5,3,0,0,6,2,0,0,5,3,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,0
2304,217,362,387,260,283,-2.08,-9.81,1.45,2,a_0_labelled.csv,0.6808333333333333,0.8016666666666666,0.8225,0.7166666666666667,0.7358333333333333,0.48960000000000004,0.45094999999999996,0.50725,0,0,8,0,0,0,5,3,0,0,5,3,0,0,7,1,0,0,6,2,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,0
2403,213,411,422,293,335,-2.04,-9.89,1.65,2,a_0_labelled.csv,0.6775,0.8425,0.8516666666666667,0.7441666666666666,0.7791666666666667,0.48979999999999996,0.45055,0.50825,0,0,8,0,0,0,5,3,0,0,5,3,0,0,8,0,0,0,6,2,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,0
2503,210,413,423,301,364,-2.31,-9.45,3.45,2,a_0_labelled.csv,0.675,0.8441666666666666,0.8525,0.7508333333333334,0.8033333333333333,0.48845,0.45275,0.51725,0,0,8,0,0,0,5,3,0,0,5,3,0,0,7,1,0,0,6,2,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,0
2604,210,412,419,303,370,-2.39,-10.36,2.75,2,a_0_labelled.csv,0.675,0.8433333333333334,0.8491666666666666,0.7525,0.8083333333333333,0.48805,0.4482,0.51375,0,0,8,0,0,0,4,4,0,0,4,4,0,0,6,2,0,0,5,3,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,2
2703,209,412,415,303,364,-2.43,-10.43,2.59,2,a_0_labelled.csv,0.6741666666666667,0.8433333333333334,0.8458333333333333,0.7525,0.8033333333333333,0.48784999999999995,0.44784999999999997,0.51295,0,0,8,0,0,0,3,5,0,0,3,5,0,0,5,3,0,0,4,4,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,2
2803,208,409,413,304,361,-2.47,-10.51,2.86,2,a_0_labelled.csv,0.6733333333333333,0.8408333333333333,0.8441666666666666,0.7533333333333333,0.8008333333333333,0.48765000000000003,0.44744999999999996,0.5143,0,0,8,0,0,0,2,6,0,0,2,6,0,0,4,4,0,0,3,5,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,2
3003,209,397,408,297,358,-1.53,-9.89,2.71,2,a_0_labelled.csv,0.6741666666666667,0.8308333333333333,0.84,0.7475,0.7983333333333333,0.49235,0.45055,0.51355,0,0,8,0,0,0,1,7,0,0,1,7,0,0,4,4,0,0,2,6,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,2
3103,210,324,343,262,296,-2.67,-10.67,3.14,2,a_0_labelled.csv,0.675,0.77,0.7858333333333334,0.7183333333333334,0.7466666666666667,0.48664999999999997,0.44665,0.5157,0,0,8,0,0,0,0,8,0,0,0,8,0,0,4,4,0,0,2,6,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,2
3203,216,222,241,178,253,-2.98,-10.2,2.24,0,a_0_labelled.csv,0.68,0.685,0.7008333333333333,0.6483333333333333,0.7108333333333333,0.4851,0.449,0.5112,0,0,8,0,0,0,1,7,0,0,1,7,0,0,4,4,0,0,2,6,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,2
3303,224,193,206,143,229,-2.16,-10.16,1.96,0,a_0_labelled.csv,0.6866666666666666,0.6608333333333334,0.6716666666666666,0.6191666666666666,0.6908333333333333,0.4892,0.44920000000000004,0.5097999999999999,0,0,8,0,0,0,2,6,0,0,2,6,0,0,4,4,0,0,3,5,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,2
3403,223,190,201,141,207,-2.75,-10.28,2.12,0,a_0_labelled.csv,0.6858333333333333,0.6583333333333333,0.6675,0.6175,0.6725,0.48625,0.4486,0.5106,0,0,8,0,0,0,3,5,0,0,3,5,0,0,5,3,0,0,4,4,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,2
3503,221,192,203,144,197,-2.86,-9.96,2.35,0,a_0_labelled.csv,0.6841666666666667,0.66,0.6691666666666667,0.62,0.6641666666666667,0.4857,0.45019999999999993,0.5117499999999999,0,0,8,0,0,0,4,4,0,0,4,4,0,0,6,2,0,0,5,3,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,2
