millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z,mlabel,infile,norm_Ngon_1,norm_Ngon_2,norm_Ngon_3,norm_Ngon_4,norm_Ngon_5,norm_X,norm_Y,norm_Z,bin_0_norm_Ngon_1,bin_1_norm_Ngon_1,bin_2_norm_Ngon_1,bin_3_norm_Ngon_1,bin_0_norm_Ngon_2,bin_1_norm_Ngon_2,bin_2_norm_Ngon_2,bin_3_norm_Ngon_2,bin_0_norm_Ngon_3,bin_1_norm_Ngon_3,bin_2_norm_Ngon_3,bin_3_norm_Ngon_3,bin_0_norm_Ngon_4,bin_1_norm_Ngon_4,bin_2_norm_Ngon_4,bin_3_norm_Ngon_4,bin_0_norm_Ngon_5,bin_1_norm_Ngon_5,bin_2_norm_Ngon_5,bin_3_norm_Ngon_5,bin_0_norm_X,bin_1_norm_X,bin_2_norm_X,bin_3_norm_X,bin_0_norm_Y,bin_1_norm_Y,bin_2_norm_Y,bin_3_norm_Y,bin_0_norm_Z,bin_1_norm_Z,bin_2_norm_Z,bin_3_norm_Z,longestPosEdge,longestNegEdge,longestPosCount,longestNegCount,label
4,224,200,222,165,251,-7.92,-5.81,1.49,0,c_2_labelled.csv,0.6866666666666666,0.6666666666666666,0.685,0.6375,0.7091666666666666,0.4604,0.47095,0.50745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,226,200,220,162,234,-8.24,-5.65,1.29,0,c_2_labelled.csv,0.6883333333333334,0.6666666666666666,0.6833333333333333,0.635,0.695,0.45880000000000004,0.47174999999999995,0.5064500000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,230,199,215,157,238,-8.36,-5.69,1.06,0,c_2_labelled.csv,0.6916666666666667,0.6658333333333334,0.6791666666666667,0.6308333333333334,0.6983333333333334,0.4582,0.47155,0.5053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,224,199,215,154,255,-8.39,-5.73,1.14,0,c_2_labelled.csv,0.6866666666666666,0.6658333333333334,0.6791666666666667,0.6283333333333333,0.7125,0.45805,0.47135,0.5057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,225,198,215,154,253,-8.55,-5.61,0.86,0,c_2_labelled.csv,0.6875,0.665,0.6791666666666667,0.6283333333333333,0.7108333333333333,0.45725,0.47195,0.5043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503,223,198,214,155,243,-8.71,-5.45,0.78,0,c_2_labelled.csv,0.6858333333333333,0.665,0.6783333333333333,0.6291666666666667,0.7025,0.45644999999999997,0.47275,0.5039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603,224,197,215,155,237,-8.04,-5.1,0.86,0,c_2_labelled.csv,0.6866666666666666,0.6641666666666667,0.6791666666666667,0.6291666666666667,0.6975,0.45980000000000004,0.47450000000000003,0.5043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
703,224,197,215,155,234,-8.59,-5.22,0.39,0,c_2_labelled.csv,0.6866666666666666,0.6641666666666667,0.6791666666666667,0.6291666666666667,0.695,0.45704999999999996,0.4739,0.50195,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,0
803,224,199,215,156,237,-7.77,-5.53,0.31,0,c_2_labelled.csv,0.6866666666666666,0.6658333333333334,0.6791666666666667,0.63,0.6975,0.46115,0.47235,0.50155,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,0
903,223,198,215,156,249,-8.51,-4.94,0.75,0,c_2_labelled.csv,0.6858333333333333,0.665,0.6791666666666667,0.63,0.7075,0.45744999999999997,0.4753,0.50375,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,0
