millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z,mlabel,infile,norm_Ngon_1,norm_Ngon_2,norm_Ngon_3,norm_Ngon_4,norm_Ngon_5,norm_X,norm_Y,norm_Z,bin_0_norm_Ngon_1,bin_1_norm_Ngon_1,bin_2_norm_Ngon_1,bin_3_norm_Ngon_1,bin_0_norm_Ngon_2,bin_1_norm_Ngon_2,bin_2_norm_Ngon_2,bin_3_norm_Ngon_2,bin_0_norm_Ngon_3,bin_1_norm_Ngon_3,bin_2_norm_Ngon_3,bin_3_norm_Ngon_3,bin_0_norm_Ngon_4,bin_1_norm_Ngon_4,bin_2_norm_Ngon_4,bin_3_norm_Ngon_4,bin_0_norm_Ngon_5,bin_1_norm_Ngon_5,bin_2_norm_Ngon_5,bin_3_norm_Ngon_5,bin_0_norm_X,bin_1_norm_X,bin_2_norm_X,bin_3_norm_X,bin_0_norm_Y,bin_1_norm_Y,bin_2_norm_Y,bin_3_norm_Y,bin_0_norm_Z,bin_1_norm_Z,bin_2_norm_Z,bin_3_norm_Z,longestPosEdge,longestNegEdge,longestPosCount,longestNegCount,label
3403,212,185,434,307,335,-5.96,-8.12,0.27,5,d_1_labelled.csv,0.6766666666666666,0.6541666666666667,0.8616666666666667,0.7558333333333334,0.7791666666666667,0.4702,0.4594,0.50135,0,0,8,0,0,0,8,0,0,0,1,7,0,0,4,4,0,0,2,6,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,5
3503,212,185,432,307,331,-6.12,-8.2,0.16,5,d_1_labelled.csv,0.6766666666666666,0.6541666666666667,0.86,0.7558333333333334,0.7758333333333334,0.4694,0.45899999999999996,0.5008,0,0,8,0,0,0,8,0,0,0,0,8,0,0,3,5,0,0,1,7,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,5
3603,212,185,430,306,329,-5.88,-8.2,0.2,5,d_1_labelled.csv,0.6766666666666666,0.6541666666666667,0.8583333333333333,0.755,0.7741666666666667,0.4706,0.45899999999999996,0.501,0,0,8,0,0,0,8,0,0,0,0,8,0,0,2,6,0,0,0,8,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,5
3703,212,184,425,304,326,-5.84,-8.28,0.08,5,d_1_labelled.csv,0.6766666666666666,0.6533333333333333,0.8541666666666666,0.7533333333333333,0.7716666666666666,0.4708,0.4586,0.5004,0,0,8,0,0,0,8,0,0,0,0,8,0,0,1,7,0,0,0,8,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,5
3803,212,186,401,294,300,-6.0,-7.88,0.27,5,d_1_labelled.csv,0.6766666666666666,0.655,0.8341666666666666,0.745,0.75,0.47,0.4606,0.50135,0,0,8,0,0,0,8,0,0,0,0,8,0,0,1,7,0,0,0,8,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,5
3903,217,187,331,251,261,-5.77,-8.36,0.31,5,d_1_labelled.csv,0.6808333333333333,0.6558333333333334,0.7758333333333334,0.7091666666666666,0.7175,0.47115,0.4582,0.50155,0,0,8,0,0,0,8,0,0,0,0,8,0,0,2,6,0,0,1,7,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,5
4003,223,187,254,193,233,-5.92,-8.43,0.2,0,d_1_labelled.csv,0.6858333333333333,0.6558333333333334,0.7116666666666667,0.6608333333333334,0.6941666666666667,0.4704,0.45785,0.501,0,0,8,0,0,0,8,0,0,0,1,7,0,0,3,5,0,0,2,6,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,5
4103,233,184,224,167,255,-6.04,-8.32,0.63,0,d_1_labelled.csv,0.6941666666666667,0.6533333333333333,0.6866666666666666,0.6391666666666667,0.7125,0.4698,0.45840000000000003,0.50315,0,0,8,0,0,0,8,0,0,0,2,6,0,0,4,4,0,0,3,5,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,5
4203,218,183,215,160,276,-5.92,-8.39,0.39,0,d_1_labelled.csv,0.6816666666666666,0.6525,0.6791666666666667,0.6333333333333333,0.73,0.4704,0.45805,0.50195,0,0,8,0,0,0,8,0,0,0,3,5,0,0,5,3,0,0,4,4,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,5
4303,214,183,210,153,236,-6.2,-8.67,0.63,0,d_1_labelled.csv,0.6783333333333333,0.6525,0.675,0.6275,0.6966666666666667,0.469,0.45665,0.50315,0,0,8,0,0,0,8,0,0,0,4,4,0,0,6,2,0,0,5,3,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,5
