millis,ax,ay,az,gx,gy,gz,label
606394,1479,-6041,6584,0,2,-1,0
606399,1472,-6040,6580,0,2,-1,1
606404,1465,-6040,6574,0,2,-1,1
606409,1460,-6044,6569,0,2,-1,1
606414,1451,-6044,6563,0,2,-1,1
606418,1440,-6044,6553,0,2,-1,1
606423,1433,-6044,6548,0,2,-1,1
606429,1428,-6047,6546,0,2,-1,1
606434,1427,-6049,6539,0,2,-1,1
606438,1427,-6050,6525,0,2,-1,1
606443,1430,-6051,6512,0,2,-1,1
606448,1431,-6049,6502,0,2,-1,1
606453,1431,-6046,6489,0,2,-1,1
606458,1430,-6046,6482,0,3,-1,1
606463,1430,-6046,6477,0,3,-1,1
606468,1428,-6047,6476,0,3,-1,1
606473,1428,-6049,6472,0,3,-1,1
606478,1425,-6049,6463,0,3,-1,1
606483,1425,-6050,6452,1,3,-1,1
606488,1423,-6047,6443,1,2,-1,1
606493,1421,-6043,6435,1,2,-1,1
606498,1419,-6044,6425,1,2,-1,1
606503,1415,-6043,6419,1,2,-1,1
606508,1414,-6044,6416,1,2,-1,1
606513,1411,-6042,6417,1,2,-1,1
606518,1412,-6043,6420,1,2,-1,1
606523,1415,-6043,6427,1,2,-1,1
606528,1418,-6038,6437,1,1,-1,1
606533,1421,-6039,6456,1,1,-1,1
606538,1420,-6038,6482,1,1,-1,1
606543,1421,-6037,6500,1,1,-1,1
606548,1420,-6035,6518,1,1,-1,1
606553,1418,-6035,6536,1,1,-1,1
606558,1417,-6031,6554,1,1,-1,1
606563,1414,-6031,6571,1,1,-1,1
606568,1415,-6029,6586,1,1,-1,1
606573,1417,-6029,6599,1,1,-1,1
606578,1421,-6031,6610,1,0,-1,1
606583,1422,-6030,6614,1,0,-1,1
606588,1422,-6028,6620,1,0,-1,1
606593,1421,-6027,6620,1,0,-1,1
606598,1420,-6025,6621,1,1,-1,1
606603,1424,-6022,6622,1,1,-1,1
606608,1426,-6018,6635,1,1,-1,1
606613,1427,-6015,6650,1,1,-1,1
606618,1436,-6014,6668,1,1,-1,1
606623,1445,-6010,6682,1,1,-1,1
606628,1454,-6006,6692,1,1,-1,1
606633,1468,-6005,6697,1,1,-1,1
606638,1481,-6003,6700,1,0,-1,1
606643,1491,-6004,6704,1,1,-1,1
606648,1497,-6003,6699,1,1,-1,1
606653,1501,-6003,6698,1,0,-1,1
606658,1502,-6003,6698,1,0,-1,1
606663,1499,-6001,6699,1,0,-1,1
606668,1498,-6000,6704,0,0,-1,1
606673,1494,-6002,6714,0,-1,-1,1
606678,1485,-6003,6725,0,-1,-1,1
606683,1475,-5998,6731,0,0,-1,1
606688,1466,-5993,6737,0,0,-1,1
606693,1460,-5986,6746,0,0,-1,1
606698,1455,-5983,6748,0,1,0,1
606703,1452,-5983,6745,0,1,0,1
606708,1455,-5978,6738,0,1,0,1
606713,1458,-5960,6731,0,1,0,1
606718,1463,-5924,6725,0,1,0,1
606723,1474,-5871,6733,0,1,0,1
606728,1482,-5818,6755,0,1,0,1
606733,1496,-5771,6769,1,1,0,1
606738,1510,-5740,6784,1,1,0,1
606743,1515,-5718,6790,1,1,0,1
606747,1510,-5701,6784,1,0,0,1
606753,1497,-5676,6748,1,0,0,1
606757,1480,-5649,6714,1,0,0,1
