millis,ax,ay,az,gx,gy,gz,label
267388,-172,-8347,216,0,0,0,0
267393,-176,-8346,220,0,-1,0,1
267398,-179,-8345,222,0,-1,0,1
267403,-176,-8343,226,0,-1,0,1
267408,-174,-8343,229,0,-1,0,1
267413,-172,-8343,235,0,-1,0,1
267418,-168,-8344,241,0,-1,0,1
267423,-166,-8344,250,0,-1,0,1
267428,-166,-8345,261,0,-1,0,1
267433,-165,-8343,267,0,-1,0,1
267438,-167,-8343,276,0,-1,0,1
267443,-166,-8344,287,0,-1,0,1
267448,-161,-8345,296,0,-1,0,1
267452,-159,-8345,303,0,0,0,1
267458,-154,-8347,309,0,0,0,1
267463,-146,-8345,310,0,0,0,1
267467,-144,-8347,310,0,-1,0,1
267472,-141,-8347,309,0,-1,0,1
267478,-139,-8347,312,0,-1,0,1
267482,-141,-8349,308,0,0,0,1
267488,-144,-8350,310,0,0,0,1
267493,-148,-8349,314,0,0,0,1
267497,-151,-8350,314,0,0,0,1
267502,-154,-8351,316,0,0,0,1
267507,-157,-8351,317,0,0,0,1
267512,-159,-8352,320,0,0,0,1
267517,-160,-8354,325,0,0,0,1
267522,-165,-8353,326,0,0,0,1
267527,-174,-8354,328,-1,0,0,1
267532,-183,-8353,333,-1,0,0,1
267537,-191,-8352,333,-1,0,0,1
267542,-203,-8350,332,-1,0,0,1
267547,-210,-8350,335,-1,0,0,1
267552,-214,-8349,334,-1,0,0,1
267557,-216,-8347,333,-1,0,0,1
267562,-223,-8346,328,-1,0,0,1
267567,-231,-8345,324,-1,0,0,1
267572,-235,-8346,320,-1,0,0,1
267577,-240,-8349,322,-1,0,0,1
267582,-243,-8351,321,-1,0,0,1
267587,-246,-8352,325,-1,0,-1,1
267592,-247,-8352,325,-1,0,-1,1
267597,-243,-8353,324,-1,0,-1,1
267602,-239,-8354,320,-1,0,-1,1
267607,-236,-8354,320,-1,0,-1,1
267612,-228,-8352,322,-1,0,-1,1
267617,-221,-8350,325,-1,0,-1,1
267622,-218,-8348,322,-1,0,-1,1
