millis,ax,ay,az,gx,gy,gz,label
24259,-6718,-378,-3830,0,-1,-1,0
24264,-6717,-377,-3829,0,-1,-1,1
24269,-6718,-379,-3829,0,-1,-1,1
24274,-6719,-380,-3828,-1,-1,-1,1
24279,-6719,-382,-3825,-1,0,-1,1
24284,-6718,-385,-3821,-1,-1,-1,1
24289,-6718,-386,-3817,-1,-1,0,1
24294,-6715,-388,-3815,-1,0,0,1
24299,-6710,-389,-3814,-1,-1,-1,1
24304,-6708,-390,-3815,0,-1,-1,1
24309,-6710,-390,-3819,0,-1,-1,1
24314,-6714,-388,-3823,0,-1,0,1
24319,-6718,-390,-3823,0,-1,-1,1
24324,-6718,-387,-3821,0,0,-1,1
24329,-6719,-386,-3815,0,0,-1,1
24334,-6721,-384,-3819,0,-1,-1,1
24339,-6720,-382,-3816,0,0,-1,1
24344,-6717,-380,-3813,0,-1,-1,1
24349,-6717,-380,-3815,0,-1,0,1
24354,-6716,-384,-3818,0,-1,0,1
24359,-6716,-386,-3825,0,-1,-1,1
24364,-6718,-386,-3827,0,-1,-1,1
24369,-6719,-387,-3824,0,-1,-1,1
24374,-6719,-386,-3821,0,0,-1,1
24379,-6721,-384,-3821,0,0,-1,1
24384,-6723,-382,-3822,0,-1,-1,1
24389,-6724,-384,-3820,0,0,-1,1
24394,-6725,-386,-3815,0,-1,-1,1
24399,-6727,-388,-3812,0,-1,-1,1
24404,-6723,-388,-3814,0,-1,-1,1
24409,-6718,-388,-3814,0,-1,-1,1
24414,-6718,-387,-3820,-1,0,-1,1
24419,-6717,-389,-3819,0,0,-1,1
24424,-6717,-392,-3819,0,-1,-1,1
24429,-6717,-391,-3820,0,-1,-1,1
24434,-6716,-390,-3818,0,-1,-1,1
24439,-6719,-389,-3821,0,-1,0,1
24444,-6721,-388,-3818,-1,-1,-1,1
24449,-6722,-389,-3818,0,0,-1,1
24454,-6722,-388,-3817,0,0,-1,1
24459,-6721,-387,-3819,0,0,-1,1
24464,-6717,-387,-3820,0,-1,-1,1
24469,-6719,-385,-3822,0,-1,-1,1
24474,-6716,-383,-3824,0,-1,-1,1
24479,-6714,-383,-3827,0,0,0,1
24484,-6713,-382,-3831,0,-1,-1,1
24489,-6710,-384,-3834,0,0,0,1
24494,-6711,-384,-3838,0,0,0,1
24499,-6712,-384,-3841,-1,-1,-1,1
24504,-6713,-383,-3838,0,-1,-1,1
24509,-6713,-384,-3836,0,-1,-1,1
24514,-6713,-382,-3836,0,-1,0,1
24519,-6714,-379,-3839,0,-1,-1,1
24524,-6716,-379,-3841,0,-1,-1,1
24529,-6716,-378,-3842,0,-1,-1,1
24534,-6717,-383,-3836,0,-1,-1,1
24539,-6714,-385,-3832,0,-1,-1,1
24544,-6713,-384,-3831,0,-1,-1,1
24549,-6713,-381,-3829,0,-1,-1,1
24554,-6712,-381,-3830,0,-1,-1,1
24559,-6712,-381,-3837,0,0,0,1
24564,-6710,-380,-3835,-1,-1,-1,1
24569,-6707,-382,-3833,-1,-1,0,1
24574,-6705,-384,-3828,0,-1,0,1
24579,-6703,-383,-3827,0,-1,0,1
24584,-6705,-382,-3825,0,0,-1,1
24589,-6707,-379,-3830,0,-1,-1,1
24594,-6709,-380,-3832,0,-1,-1,1
24599,-6710,-383,-3831,0,-1,0,1
24604,-6711,-382,-3829,0,-1,-1,1
24609,-6712,-386,-3836,0,-1,-1,1
24614,-6714,-385,-3836,0,-1,-1,1
