millis,ax,ay,az,gx,gy,gz,label
42564,-1235,-7631,-2237,-1,-1,-3,0
42569,-1235,-7629,-2244,-1,-1,-3,1
42574,-1234,-7631,-2255,-1,-1,-2,1
42579,-1234,-7632,-2260,-1,-1,-2,1
42584,-1233,-7634,-2268,-1,-1,-2,1
42589,-1232,-7634,-2278,-1,-1,-2,1
42594,-1236,-7633,-2285,-1,-1,-2,1
42599,-1247,-7631,-2286,-1,-2,-2,1
42604,-1260,-7627,-2287,-1,-2,-2,1
42608,-1271,-7626,-2282,-1,-2,-3,1
42614,-1284,-7627,-2276,-1,-3,-3,1
42619,-1296,-7630,-2267,-1,-3,-3,1
42624,-1306,-7628,-2259,-1,-2,-2,1
42629,-1303,-7626,-2251,-1,-2,-2,1
42634,-1291,-7627,-2238,-1,-3,-2,1
42638,-1278,-7628,-2226,-1,-3,-2,1
42644,-1268,-7629,-2221,-1,-3,-2,1
42649,-1266,-7626,-2215,-1,-3,-2,1
42653,-1274,-7625,-2205,-1,-3,-3,1
42658,-1295,-7628,-2201,-1,-3,-3,1
42664,-1323,-7629,-2197,-1,-3,-3,1
42668,-1354,-7628,-2194,-1,-3,-2,1
42673,-1378,-7629,-2187,-1,-2,-2,1
42678,-1390,-7630,-2187,-1,-1,-2,1
42683,-1393,-7632,-2188,-1,-1,-2,1
42688,-1381,-7627,-2196,-1,0,-2,1
42694,-1365,-7627,-2193,-1,0,-2,1
42698,-1351,-7630,-2186,-1,0,-2,1
42703,-1337,-7629,-2183,-1,0,-2,1
42708,-1331,-7631,-2175,-1,0,-2,1
42713,-1332,-7633,-2171,-1,-1,-2,1
42718,-1346,-7635,-2172,-1,-1,-2,1
42723,-1365,-7639,-2175,-1,-1,-2,1
42728,-1387,-7640,-2187,-1,-1,-3,1
42733,-1414,-7641,-2201,-1,-1,-3,1
42738,-1435,-7642,-2209,-1,-1,-3,1
42743,-1451,-7642,-2220,-1,-1,-3,1
42748,-1459,-7641,-2225,-1,-1,-3,1
42753,-1463,-7641,-2220,-1,0,-3,1
42758,-1468,-7638,-2211,-1,0,-3,1
42763,-1476,-7639,-2198,-1,1,-3,1
42768,-1484,-7640,-2181,-1,1,-3,1
42773,-1493,-7639,-2155,-1,2,-3,1
42778,-1500,-7637,-2137,-1,2,-3,1
42783,-1500,-7638,-2128,-1,2,-3,1
42788,-1491,-7636,-2122,-1,2,-3,1
42793,-1475,-7640,-2122,-1,3,-3,1
42798,-1460,-7641,-2128,-1,2,-3,1
42803,-1451,-7641,-2140,-1,2,-3,1
42808,-1450,-7643,-2148,-1,2,-3,1
42813,-1447,-7642,-2152,-1,3,-3,1
42818,-1442,-7642,-2150,-1,3,-3,1
42823,-1432,-7645,-2137,-1,3,-3,1
42828,-1416,-7646,-2119,-1,4,-3,1
42833,-1391,-7646,-2098,-1,4,-3,1
42838,-1362,-7648,-2084,-1,4,-3,1
42843,-1324,-7650,-2077,-1,4,-3,1
42848,-1287,-7651,-2078,-1,3,-3,1
42853,-1263,-7648,-2088,-1,2,-3,1
42858,-1245,-7645,-2099,-1,2,-3,1
42863,-1232,-7643,-2099,-1,2,-3,1
42868,-1224,-7643,-2093,-1,1,-3,1
42873,-1224,-7643,-2075,-1,1,-3,1
42878,-1228,-7645,-2055,-1,0,-3,1
42883,-1233,-7644,-2038,-1,-1,-3,1
42888,-1235,-7643,-2021,-1,0,-3,1
42893,-1230,-7642,-2004,-1,0,-3,1
42898,-1216,-7642,-1996,-1,0,-3,1
42903,-1201,-7645,-1998,-1,-1,-3,1
42908,-1187,-7647,-2006,-2,-1,-3,1
42913,-1175,-7649,-2016,-2,-1,-3,1
42918,-1167,-7648,-2031,-2,-1,-3,1
42923,-1169,-7648,-2044,-2,-1,-3,1
42928,-1180,-7648,-2047,-2,-1,-3,1
42933,-1192,-7649,-2046,-2,-1,-2,1
42938,-1201,-7648,-2045,-2,-1,-2,1
42943,-1210,-7647,-2040,-2,-1,-2,1
42948,-1214,-7648,-2043,-2,-2,-2,1
42953,-1222,-7652,-2050,-2,-2,-2,1
42958,-1226,-7653,-2061,-2,-2,-2,1
42963,-1223,-7653,-2068,-2,-2,-2,1
42968,-1220,-7652,-2078,-2,-2,-2,1
42973,-1224,-7651,-2088,-2,-3,-2,1
42978,-1230,-7652,-2095,-2,-3,-2,1
42983,-1242,-7653,-2097,-2,-3,-2,1
42988,-1255,-7651,-2094,-2,-3,-2,1
42993,-1272,-7651,-2090,-2,-3,-2,1
42998,-1292,-7648,-2088,-2,-2,-2,1
43003,-1311,-7648,-2084,-2,-2,-2,1
43008,-1324,-7647,-2079,-2,-1,-2,1
43013,-1331,-7646,-2083,-2,-1,-2,1
43018,-1334,-7646,-2094,-2,-1,-2,1
43023,-1332,-7644,-2113,-2,0,-2,1
43028,-1327,-7645,-2123,-2,0,-2,1
43033,-1316,-7649,-2136,-2,0,-2,1
43038,-1308,-7652,-2143,-2,0,-2,1
43043,-1307,-7653,-2151,-2,-1,-2,1
43048,-1312,-7654,-2152,-2,-1,-2,1
43053,-1322,-7650,-2148,-2,-1,-2,1
43058,-1338,-7650,-2149,-2,-1,-2,1
43063,-1353,-7650,-2150,-2,-1,-2,1
43068,-1372,-7647,-2152,-2,0,-2,1
43073,-1385,-7648,-2156,-2,0,-2,1
43078,-1401,-7647,-2161,-2,0,-2,1
43083,-1414,-7644,-2164,-2,0,-2,1
43088,-1420,-7644,-2170,-2,1,-2,1
43093,-1416,-7644,-2175,-2,1,-2,1
43098,-1404,-7642,-2178,-2,1,-2,1
43103,-1386,-7643,-2182,-2,1,-2,1
43108,-1369,-7647,-2182,-2,1,-2,1
43113,-1348,-7650,-2181,-2,1,-2,1
43118,-1328,-7651,-2179,-2,1,-2,1
43123,-1315,-7650,-2173,-2,1,-2,1
43128,-1309,-7650,-2170,-2,0,-2,1
43133,-1310,-7649,-2176,-2,0,-2,1
43138,-1321,-7648,-2180,-2,0,-3,1
43143,-1336,-7647,-2189,-2,0,-3,1
43148,-1354,-7646,-2193,-2,0,-2,1
43153,-1367,-7644,-2197,-2,0,-2,1
43158,-1375,-7643,-2195,-2,0,-2,1
43163,-1380,-7640,-2192,-2,0,-2,1
43168,-1382,-7640,-2184,-2,1,-2,1
43173,-1378,-7640,-2176,-2,1,-2,1
43178,-1373,-7641,-2164,-2,1,-2,1
43183,-1369,-7640,-2160,-2,1,-2,1
43188,-1368,-7642,-2158,-2,1,-3,1
43193,-1372,-7645,-2168,-2,1,-3,1
43198,-1379,-7648,-2182,-2,1,-3,1
43203,-1389,-7648,-2196,-2,1,-3,1
43208,-1395,-7649,-2208,-2,1,-3,1
43213,-1400,-7650,-2217,-2,1,-3,1
43218,-1400,-7648,-2224,-2,1,-3,1
43223,-1393,-7646,-2222,-2,1,-3,1
43228,-1382,-7645,-2217,-2,1,-3,1
43233,-1367,-7647,-2208,-2,1,-3,1
43238,-1351,-7649,-2200,-2,2,-3,1
43243,-1330,-7651,-2188,-2,2,-3,1
43248,-1308,-7652,-2182,-2,2,-3,1
43253,-1282,-7652,-2177,-2,2,-3,1
43258,-1259,-7656,-2180,-2,1,-3,1
43263,-1239,-7655,-2180,-2,1,-3,1
43268,-1223,-7653,-2181,-2,1,-2,1
43273,-1214,-7652,-2185,-2,0,-3,1
43278,-1214,-7651,-2183,-2,0,-3,1
43283,-1221,-7651,-2178,-2,-1,-3,1
43288,-1237,-7647,-2173,-2,-1,-2,1
43293,-1254,-7647,-2162,-2,-1,-2,1
43298,-1271,-7647,-2144,-2,-1,-2,1
43303,-1292,-7645,-2137,-2,-1,-2,1
43308,-1307,-7646,-2133,-2,-1,-2,1
43313,-1315,-7646,-2129,-2,0,-2,1
43318,-1316,-7645,-2127,-2,0,-2,1
43323,-1316,-7644,-2128,-2,-1,-2,1
43328,-1318,-7648,-2135,-2,-1,-2,1
43333,-1322,-7651,-2139,-2,-1,-2,1
43338,-1329,-7650,-2135,-2,0,-2,1
43343,-1330,-7649,-2130,-2,0,-3,1
43348,-1335,-7649,-2123,-2,0,-3,1
43353,-1341,-7651,-2114,-2,0,-3,1
43358,-1341,-7649,-2106,-2,0,-3,1
43363,-1344,-7649,-2106,-2,0,-3,1
43368,-1344,-7649,-2112,-2,0,-3,1
43373,-1343,-7644,-2125,-2,0,-3,1
43378,-1350,-7653,-2129,-2,0,-3,1
43383,-1367,-7654,-2140,-2,0,-3,1
43388,-1379,-7651,-2143,-2,1,-3,1
43393,-1386,-7651,-2132,-2,1,-3,1
43398,-1393,-7651,-2123,-2,1,-3,1
43403,-1403,-7650,-2106,-2,1,-3,1
43408,-1403,-7652,-2089,-2,2,-3,1
43412,-1397,-7653,-2080,-2,2,-3,1
43418,-1388,-7651,-2073,-2,2,-3,1
43423,-1382,-7650,-2071,-2,3,-3,1
43427,-1374,-7647,-2081,-2,3,-3,1
43433,-1361,-7649,-2095,-2,3,-3,1
43437,-1348,-7648,-2106,-2,3,-3,1
43443,-1328,-7648,-2117,-2,3,-3,1
43447,-1306,-7649,-2123,-2,3,-3,1
43452,-1291,-7651,-2126,-2,2,-3,1
43458,-1278,-7649,-2133,-2,2,-3,1
43462,-1264,-7649,-2132,-2,2,-3,1
43467,-1257,-7650,-2134,-2,2,-3,1
43472,-1256,-7650,-2128,-2,2,-3,1
43478,-1253,-7648,-2127,-2,1,-3,1
43482,-1252,-7645,-2131,-2,1,-3,1
43488,-1249,-7646,-2134,-2,1,-3,1
43492,-1245,-7643,-2136,-2,1,-3,1
43497,-1242,-7640,-2140,-2,1,-3,1
43502,-1236,-7643,-2147,-2,1,-3,1
43507,-1236,-7644,-2153,-2,1,-3,1
43512,-1234,-7643,-2158,-2,0,-3,1
43517,-1236,-7645,-2165,-2,0,-3,1
43522,-1243,-7647,-2170,-2,0,-3,1
43527,-1254,-7646,-2178,-2,0,-3,1
43532,-1268,-7643,-2187,-2,0,-3,1
43537,-1286,-7644,-2196,-2,0,-3,1
43542,-1304,-7645,-2203,-2,0,-3,1
43547,-1321,-7647,-2210,-2,1,-3,1
43552,-1336,-7644,-2215,-2,1,-3,1
43557,-1346,-7641,-2218,-2,1,-3,1
43562,-1350,-7640,-2218,-2,2,-3,1
43567,-1345,-7636,-2217,-2,3,-3,1
43572,-1336,-7638,-2216,-2,3,-3,1
43577,-1320,-7640,-2214,-2,3,-3,1
43582,-1304,-7641,-2213,-2,3,-3,1
43587,-1284,-7642,-2214,-2,3,-3,1
43592,-1268,-7642,-2212,-2,3,-3,1
43597,-1252,-7641,-2208,-2,2,-3,1
43602,-1236,-7640,-2207,-2,2,-3,1
43607,-1219,-7644,-2208,-2,1,-3,1
43612,-1207,-7645,-2206,-2,1,-2,1
43617,-1195,-7646,-2208,-2,1,-2,1
43622,-1185,-7644,-2206,-2,1,-2,1
43627,-1184,-7644,-2206,-2,0,-2,1
43632,-1193,-7645,-2205,-2,0,-2,1
43637,-1201,-7646,-2201,-2,0,-2,1
43642,-1208,-7643,-2202,-2,0,-2,1
43647,-1213,-7641,-2204,-2,0,-2,1
