millis,ax,ay,az,gx,gy,gz,label
222207,733,-8258,-707,0,0,-2,0
222212,733,-8255,-693,0,0,-2,1
222217,736,-8253,-678,0,1,-2,1
222222,742,-8254,-663,0,1,-2,1
222227,748,-8259,-647,0,1,-2,1
222232,756,-8259,-629,0,2,-2,1
222237,763,-8259,-605,0,2,-2,1
222242,768,-8257,-590,0,2,-2,1
222247,774,-8257,-569,0,2,-2,1
222252,778,-8258,-552,0,2,-2,1
222257,787,-8256,-530,0,2,-2,1
222262,798,-8256,-504,0,2,-2,1
222267,809,-8252,-480,0,3,-2,1
222272,822,-8254,-452,0,3,-2,1
222277,838,-8254,-420,0,3,-2,1
222282,853,-8252,-395,0,2,-2,1
222287,865,-8253,-368,0,1,-2,1
222292,874,-8251,-344,0,0,-2,1
222297,875,-8255,-323,0,0,-2,1
222302,871,-8258,-316,0,-1,-2,1
222307,866,-8260,-308,0,-1,-1,1
222312,861,-8260,-301,0,-1,-1,1
222317,856,-8260,-294,0,-1,-2,1
222322,852,-8257,-290,0,-1,-1,1
222327,850,-8253,-286,0,-1,-1,1
222332,849,-8255,-283,0,-1,-1,1
222337,853,-8255,-278,-1,-1,-1,1
222342,854,-8256,-271,-1,-1,-1,1
222347,854,-8256,-267,-1,-1,-1,1
222352,854,-8257,-258,-1,-1,-1,1
222357,853,-8255,-247,-1,-1,-1,1
222362,848,-8253,-239,-1,-1,-1,1
222367,840,-8252,-233,-1,-1,-1,1
222372,833,-8254,-225,-1,-2,-1,1
222377,825,-8254,-220,-1,-2,-1,1
222382,814,-8256,-220,-1,-2,-1,1
222387,800,-8257,-224,-1,-3,-1,1
222392,786,-8259,-229,-1,-3,-1,1
222397,772,-8255,-239,-1,-3,-1,1
222402,752,-8256,-251,-1,-4,-1,1
222407,729,-8258,-260,-1,-4,-1,1
222412,704,-8260,-273,-1,-4,-1,1
222417,682,-8262,-288,-1,-4,-1,1
222422,660,-8262,-301,-1,-3,-1,1
222427,641,-8263,-315,-1,-3,-2,1
222432,623,-8262,-328,-1,-3,-2,1
222437,611,-8259,-345,-1,-3,-2,1
222442,604,-8259,-356,-1,-2,-2,1
222447,596,-8258,-362,-2,-2,-2,1
222452,586,-8262,-368,-2,-3,-2,1
222457,575,-8261,-377,-2,-3,-2,1
222462,560,-8264,-381,-2,-3,-2,1
222467,548,-8265,-391,-2,-3,-2,1
222472,538,-8266,-393,-1,-3,-2,1
222477,523,-8265,-409,-2,-2,-2,1
222482,524,-8267,-421,-2,-1,-2,1
222487,525,-8270,-438,-2,-2,-2,1
222492,523,-8266,-448,-2,-3,-2,1
222497,525,-8266,-457,-2,-2,-2,1
222502,530,-8267,-467,-1,-2,-3,1
222507,541,-8267,-480,-1,-1,-3,1
222512,546,-8267,-502,-1,-2,-3,1
222517,557,-8267,-513,-1,-1,-3,1
222522,568,-8265,-520,-1,0,-3,1
222527,575,-8262,-522,-1,0,-3,1
222532,596,-8262,-519,-1,1,-3,1
222537,618,-8260,-517,-1,1,-3,1
222542,639,-8259,-513,-1,1,-3,1
222547,664,-8256,-506,-1,1,-3,1
222552,685,-8256,-503,-1,1,-3,1
222557,708,-8254,-493,-1,1,-3,1
222562,726,-8255,-486,-1,1,-3,1
222567,741,-8252,-485,-1,1,-3,1
222572,757,-8252,-488,-1,2,-3,1
222577,774,-8252,-502,-1,2,-3,1
222582,795,-8251,-512,-1,3,-3,1
222587,815,-8252,-529,-1,3,-3,1
222592,833,-8254,-546,-1,3,-3,1
222597,853,-8255,-568,-1,3,-2,1
222602,873,-8254,-591,-1,3,-2,1
222607,893,-8254,-609,-1,4,-2,1
222612,914,-8253,-628,-1,4,-2,1
222617,941,-8251,-639,-1,5,-2,1
222622,998,-8252,-629,-1,4,-2,1
