millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z,mlabel
44103,281,390,327,479,375,-9.3,-3.65,-0.27,8
44204,222,388,327,473,374,-9.06,-4,-1.41,8
44303,223,385,324,470,372,-7.88,-4.12,-1.77,8
44403,222,384,322,467,370,-8.04,-4.67,-2.35,8
44603,215,375,317,461,371,-7.37,-5.3,-2.43,8
44703,217,373,319,460,363,-6.98,-4.94,-1.92,8
44803,208,331,284,424,324,-6.75,-4.82,-1.8,8
44903,205,271,225,359,290,-8.36,-4.51,-1.26,8
45003,195,235,181,327,257,-8.2,-4.51,-1.57,0
45103,191,220,161,299,230,-9.61,-4.24,-1.14,0
45203,190,212,153,282,209,-9.77,-3.84,-0.67,0
45303,158,207,152,278,193,-9.18,-3.57,-0.47,0
45403,155,206,152,278,202,-10,-3.3,-0.43,0
45503,126,204,152,275,188,-10.08,-2.86,-0.67,0
45603,123,204,150,277,204,-9.89,-2.82,-0.71,0
45703,161,206,155,280,194,-9.77,-2.82,-1.1,0
45803,203,247,214,358,270,-10.24,-3.3,-0.59,0
45903,258,334,294,450,313,-8.9,-3.22,-1.61,8
46003,269,386,319,473,367,-9.65,-3.22,-1.65,8
46103,277,401,325,472,379,-9.34,-3.73,-1.53,8
46203,286,401,321,473,373,-8.16,-4.43,-1.53,8
46303,285,400,319,474,381,-8.12,-4.71,-2.12,8
46403,288,394,319,467,376,-7.96,-5.49,-2.35,8
46503,213,386,316,463,378,-2.79,-4.71,-0.35,8
46603,210,379,306,448,360,-7.41,-5.3,-2.47,8
46703,210,380,309,453,372,-7.41,-5.37,-2.08,8
46803,252,347,286,432,346,-5.88,-5.14,-2.16,8
46903,224,289,242,372,290,-7.18,-4.98,-1.65,8
47003,205,228,174,313,241,-8.28,-4.82,-1.84,0
47104,205,208,155,284,217,-8.71,-3.41,-2,0
47203,201,207,155,281,211,-9.3,-3.26,-2.08,0
47303,204,205,152,277,209,-9.53,-2.86,-1.57,0
47404,212,204,152,275,206,-10.4,-2.94,-1.1,0
47503,215,204,152,274,205,-9.92,-2.71,-1.57,0
47603,209,204,152,275,206,-9.96,-2.28,-1.33,0
47803,243,231,190,323,240,-9.18,-2.79,-0.86,0
47903,276,306,265,408,312,-9.49,-2.9,-0.63,8
48003,299,377,313,468,362,-10.12,-3.14,-1.26,8
48103,326,395,325,483,388,-9.73,-3.84,-1.02,8
48203,340,394,326,484,402,-9.34,-4.51,-0.9,8
48303,333,389,323,470,395,-8.63,-4.24,-1.49,8
48403,372,378,315,463,373,-7.77,-4.24,-1.8,8
48503,377,380,315,464,397,-8.24,-4.24,-1.73,8
48603,362,375,312,456,383,-9.38,-4.35,-1.92,8
48703,211,377,316,462,383,-6.94,-3.88,-3.1,8
48803,218,375,312,460,361,-7.45,-5.1,-2.63,8
48903,219,371,313,462,376,-7.22,-5.1,-2.43,8
49003,306,318,274,407,342,-6.98,-4.82,-2.43,8
49103,210,271,227,358,280,-8.12,-4.59,-2.35,8
49203,266,226,176,314,252,-7.81,-4.55,-2.28,0
49303,256,212,159,297,234,-7.73,-3.92,-2.39,0
49403,249,211,157,288,217,-9.41,-3.41,-2.08,0
49503,233,207,154,279,214,-10.4,-2.9,-1.84,0
49603,272,205,153,278,198,-9.77,-2.67,-1.73,0
49703,268,203,151,279,202,-9.73,-2.24,-1.88,0
49803,267,207,153,278,211,-10.28,-2.47,-1.53,0
49903,251,214,175,316,243,-9.96,-2.9,-1.49,0
50003,283,277,266,401,294,-9.57,-2.82,-1.77,8
50103,313,352,314,468,335,-9.65,-3.26,-1.02,8
50203,314,386,325,479,361,-8.87,-2.71,-1.88,8
50304,207,390,324,477,364,-9.3,-3.65,-1.06,8
50403,215,391,322,473,359,-8.32,-4.04,-2.2,8
50503,214,387,321,467,344,-8.24,-4.67,-2.24,8
50604,211,383,319,463,359,-8.79,-5.18,-1.26,8
50703,200,364,317,463,349,-7.61,-4.82,-3.1,8
50803,200,347,313,462,336,-6.94,-5.22,-2.39,8
51003,199,297,256,384,292,-7.92,-5.3,-2.2,8
51103,204,250,206,343,257,-8.2,-4.31,-2.55,0
51203,172,225,173,317,237,-8.24,-3.84,-2.51,0
51303,150,216,161,301,223,-8.9,-3.8,-2.31,0
51403,159,212,157,291,216,-9.77,-3.57,-1.37,0
51503,161,206,155,285,208,-9.1,-3.41,-1.41,0
51603,153,209,154,283,209,-9.57,-3.14,-1.14,0
51703,138,209,154,282,208,-9.65,-2.71,-0.94,0
51803,75,209,154,282,208,-9.81,-2.71,-1.22,0
51903,100,211,155,283,210,-9.85,-2.51,-1.37,0
52003,176,230,184,319,236,-9.77,-2.79,-1.22,0
52103,212,307,267,413,282,-9.69,-3.14,-1.14,8
52203,248,392,319,479,348,-9.96,-3.84,-1.61,8
52303,258,408,324,481,350,-9.53,-4.31,-1.29,8
52403,280,405,323,483,369,-8.47,-3.88,-1.41,8
52503,310,402,319,477,371,-7.69,-4,-2.39,8
52603,313,400,317,475,374,-7.73,-4.39,-2.98,8
52703,305,397,318,471,374,-8.47,-4.43,-2.86,8
52803,292,373,310,457,377,-6.24,-4.82,-2.51,8
52903,287,382,310,457,340,-6.75,-5.3,-2.43,8
53003,261,346,287,427,340,-6.55,-4.75,-1.96,8
53103,209,252,212,341,238,-7.85,-4.24,-1.18,0
53203,194,212,163,299,220,-8.28,-4.08,-1.61,0
53303,180,206,153,282,197,-9.22,-3.3,-1.49,0
53403,194,206,153,281,215,-10.98,-2.67,-1.96,0
53504,162,206,153,278,202,-10.63,-2.08,-1.84,0
53603,170,208,156,279,207,-10.04,-2.39,-1.8,0
53703,191,210,157,285,215,-9.45,-2.39,-1.69,0
53804,229,251,222,363,265,-9.41,-2.31,-1.02,8
53903,265,340,294,443,337,-9.1,-2.98,-1.73,8
54003,289,390,321,472,368,-10.28,-2.9,-1.77,8
54203,292,392,322,478,378,-8.87,-3.84,-1.02,8
54303,302,389,321,472,379,-8.75,-3.73,-1.8,8
54403,300,385,320,469,378,-8.24,-4.16,-2.28,8
54503,303,384,317,466,380,-8.32,-4.63,-2.39,8
54603,301,382,315,464,378,-9.3,-4.51,-2.04,8
54703,304,379,314,462,372,-0.12,-5.65,-0.63,8
54803,303,378,313,461,367,-7.22,-5.96,-1.37,8
54903,313,376,314,459,378,-7.53,-4.47,-1.57,8
55003,272,315,269,408,337,-7.22,-4.71,-0.9,8
55103,261,245,201,339,275,-6.32,-4.16,-1.02,0
55203,257,223,168,308,243,-7.53,-4.08,-2.24,0
55303,246,217,158,295,233,-9.14,-2.71,-2.55,0
55403,259,215,156,287,228,-10.71,-2.51,-2.39,0
55503,273,211,155,283,228,-10.2,-2.08,-2.24,0
55603,273,212,155,281,227,-9.89,-2.2,-1.77,0
55703,279,214,154,284,221,-10,-2.55,-1.65,0
55803,279,228,177,317,235,-9.77,-3.06,-1.84,0
55903,311,305,268,413,295,-9.41,-3.18,-1.65,8
56003,334,379,316,476,363,-8.9,-3.65,-1.84,8
56103,339,402,325,478,376,-8.55,-3.37,-2.55,8
56203,342,395,326,475,388,-8.24,-4.08,-2.12,8
56303,332,392,324,467,385,-8.59,-4.35,-2.28,8
56403,322,388,317,470,356,-8.79,-4.35,-2,8
56503,333,385,319,462,361,-8.98,-4.67,-1.96,8
56603,358,382,313,468,367,-8.87,-4.51,-2.2,8
56704,317,378,315,460,365,-7.65,-5.49,-2.35,8
56803,317,379,310,454,352,-7.02,-5.02,-1.53,8
56903,262,300,252,395,302,-7.02,-5.41,-1.73,8
57004,226,253,208,346,256,-8.59,-5.02,-1.61,8
57103,231,233,174,317,239,-7.85,-4.51,-1.84,0
57203,216,218,162,300,226,-9.14,-3.96,-1.69,0
57403,181,212,156,285,203,-9.1,-2.82,-1.77,0
57503,146,212,156,283,210,-10.71,-2.55,-1.41,0
57603,120,210,155,282,205,-9.45,-2.35,-2.04,0
57703,99,211,155,281,206,-9.53,-2.31,-2.16,0
57803,134,213,156,286,217,-9.45,-2.39,-1.88,0
57903,173,235,195,339,240,-9.1,-2.67,-1.41,0
58003,230,327,285,437,324,-9.34,-3.02,-1.69,8
58103,271,384,320,470,353,-9.02,-3.33,-2.51,8
58203,274,392,325,481,362,-8.32,-3.73,-2.16,8
58303,272,387,322,474,371,-8.43,-3.88,-2.28,8
58403,272,381,320,473,374,-7.77,-4.63,-2.39,8
58503,271,379,318,467,372,-8.39,-4.94,-0.55,8
58603,202,376,317,466,380,-9.38,-4.9,-2.98,8
58703,265,374,316,460,385,-6.59,-5.26,-2.47,8
58803,225,362,310,453,352,-6.47,-5.02,-2.16,8
58903,226,306,262,400,313,-7.85,-4.75,-1.69,8
59003,204,255,214,346,264,-8.36,-3.77,-1.96,8
59103,192,225,174,315,232,-8.24,-3.33,-1.92,0
59203,192,213,156,293,226,-9.26,-2.82,-2.98,0
59303,184,215,158,295,221,-8.83,-2.55,-2.31,0
59403,150,214,157,289,222,-9.92,-2.31,-2.12,0
