millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z,mlabel
154503,177,207,153,284,295,-0.78,-10,0.12,0
154603,176,207,153,282,294,-0.12,-10,-0.67,0
154703,175,206,152,280,293,-0.51,-9.14,-0.08,0
154803,174,206,152,280,292,-0.04,-10.55,-1.02,0
154903,174,206,153,280,292,-0.24,-10.51,-0.55,0
155003,174,206,153,280,292,-0.47,-10.55,-0.27,0
155103,175,206,153,279,292,-0.27,-10.51,-0.63,0
155203,174,206,153,280,291,-0.51,-10.32,-0.67,0
155303,174,206,153,280,291,-1.22,-10.32,-0.39,0
155403,176,221,167,291,293,-3.33,-10.51,-0.24,0
155503,186,353,248,446,314,-0.94,-8.16,5.14,12
155603,180,394,288,485,317,0.12,-9.96,4.35,12
155703,176,374,294,492,321,1.53,-11.69,3.84,12
155803,174,376,296,491,321,0.04,-11.02,3.14,12
155904,171,381,293,492,316,-4.2,-9.65,5.41,12
156003,171,379,274,478,312,6.51,-9.65,3.49,12
156103,172,348,267,470,311,8.36,-8.59,2.51,12
156204,171,348,275,464,309,-3.06,-9.49,2.16,12
156303,170,349,276,456,305,-6.59,-8.12,6,12
156403,176,344,273,463,305,0.27,-9.89,5.26,12
156603,180,317,251,438,305,1.92,-11.92,1.29,12
156703,183,241,192,344,303,-2,-11.45,2.16,0
156803,177,219,163,299,300,-3.26,-10.43,2.2,0
156903,175,213,157,290,298,-2.79,-9.69,1.84,0
157003,172,211,157,289,293,-1.53,-8.16,0.55,0
157103,171,210,155,287,296,-0.78,-9.69,0.63,0
157203,171,209,154,285,294,-0.55,-9.38,-0.12,0
157303,172,207,154,283,293,-0.47,-10.67,-0.12,0
157403,171,207,154,282,292,-0.55,-10.51,-0.9,0
157503,171,207,154,282,293,-0.04,-10.43,-0.04,0
157603,171,207,154,282,292,-0.04,-10.63,-0.24,0
157703,171,207,154,282,292,-0.35,-10.43,-0.08,0
157803,171,208,153,282,291,-0.78,-10.47,-0.39,0
157903,171,208,154,283,292,-1.18,-10.4,-0.51,0
158003,171,251,213,386,297,-3.8,-10.9,0.86,12
158103,172,340,283,479,315,-1.45,-8.79,4.63,12
158203,173,350,291,478,318,-1.45,-8.39,5.1,12
158303,175,375,296,479,320,-0.43,-11.57,4.86,12
158403,175,356,300,480,323,-0.67,-11.22,4.08,12
158503,173,352,296,476,320,-3.02,-8.47,4.39,12
158603,186,348,296,485,315,3.53,-11.73,4.98,12
158703,190,339,295,479,310,6.24,-10.9,4.82,12
158803,185,335,290,471,307,-1.41,-10.87,3.96,12
158903,181,336,288,466,307,-7.37,-6.83,5.61,12
159003,186,333,290,471,305,0.12,-9.45,3.45,12
159104,194,329,286,471,305,6.2,-10.24,2.94,12
159203,194,329,286,467,305,3.22,-12.47,3.37,12
159303,195,291,255,409,306,0.35,-11.92,3.84,12
159404,186,232,179,324,304,-1.49,-10.55,1.53,0
159503,215,258,191,319,327,-1.88,-10.4,1.02,0
159603,174,212,156,288,298,-1.92,-9.41,0.43,0
159803,171,210,155,287,296,-1.22,-9.96,0.2,0
159903,170,209,155,285,295,-1.02,-9.85,-0.08,0
160003,170,209,155,285,294,-0.67,-11.22,-0.51,0
160103,171,209,155,285,294,-0.98,-10.51,0.55,0
160203,171,209,154,284,293,-0.55,-10.47,-0.35,0
160303,171,209,154,284,294,-1.06,-10.75,-0.08,0
160403,170,209,154,284,293,-0.59,-10.59,-0.08,0
160503,170,209,154,284,293,-0.24,-10.43,-0.12,0
160603,170,208,154,284,293,-0.47,-10.47,-0.12,0
160703,171,209,154,284,293,-0.59,-10.59,0,0
160803,170,208,154,284,293,-0.43,-10.59,0.24,0
160903,171,208,154,283,294,-0.39,-10.55,0.24,0
161003,170,206,153,282,294,-0.27,-9.85,0.08,0
161103,171,212,161,290,295,-2.55,-9.69,0.75,0
161203,179,319,250,428,360,-2.2,-9.69,2.55,12
161303,183,350,275,479,341,-1.37,-10.16,4.08,12
161403,180,367,281,492,328,-2.98,-9.69,5.41,12
161503,179,370,285,501,327,-5.02,-9.22,5.88,12
161603,179,354,275,495,325,4.16,-9.41,4.28,12
161703,182,346,261,485,323,5.61,-9.57,3.22,12
161803,179,343,264,478,315,-0.82,-11.26,2.24,12
161903,176,363,280,493,312,-7.57,-6.94,5.92,12
162003,182,370,283,500,307,-2.82,-7.77,4.31,12
162103,189,363,281,497,302,5.57,-9.57,4.31,12
162203,192,359,276,503,301,4,-11.69,3.26,12
162304,193,352,276,480,300,0.59,-10.67,3.57,12
