Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z,Label
221,183,199,199,189,0.27,-10.63,1.8,0
221,183,199,200,190,0.24,-10.75,1.77,0
221,183,198,200,190,0.2,-10.71,1.57,0
221,183,198,199,187,0.08,-10.75,1.88,0
221,183,198,198,186,0.63,-10.67,1.84,0
220,182,198,198,185,0.12,-10.75,1.53,0
220,183,198,197,185,0.9,-10.75,2.2,0
220,182,198,197,184,0.43,-10.67,1.8,0
219,182,199,197,184,0.43,-10.67,2.24,0
219,182,199,198,184,0.43,-10.63,2.16,0
218,182,199,197,184,0.31,-10.67,2.16,0
221,182,199,197,184,0.31,-10.71,2.12,0
219,182,199,197,185,0.31,-10.71,2.16,0
219,184,199,197,185,0.35,-10.75,2.31,0
216,195,225,199,196,0.39,-10.75,1.65,0
216,195,226,199,196,0.24,-10.75,1.57,0
215,194,225,211,195,0.04,-10.67,1.96,0
215,194,224,222,209,0.9,-10.55,2.63,0
215,194,224,243,197,0.39,-10.75,2.59,0
215,193,223,241,196,0.59,-10.63,2.47,0
214,193,217,233,217,0.63,-10.63,2.67,0
214,192,212,224,193,0.55,-10.71,1.61,0
214,191,210,216,189,0.51,-10.9,2.67,0
215,187,204,211,185,0.59,-10.71,1.61,0
214,187,202,204,183,0.78,-10.83,1.92,0
214,188,201,205,183,0.94,-10.67,2.16,0
214,186,202,204,182,0.67,-10.75,2.08,1
214,187,202,206,182,0.75,-10.71,1.92,1
214,188,222,239,196,0.67,-10.71,2.24,1
214,222,262,289,266,0.59,-10.55,2.28,1
213,293,303,331,288,0.59,-10.67,2.2,1
211,335,336,372,300,0.39,-10.51,2.51,1
210,356,352,391,321,0.12,-10.59,2.28,1
209,366,361,401,311,0.16,-10.67,2.51,1
209,369,362,402,333,0.27,-10.67,2.63,1
208,366,361,400,321,0.16,-10.63,2.67,1
208,364,360,397,300,0.12,-10.55,2.79,1
208,362,358,394,311,0.2,-10.55,2.59,1
208,322,326,349,300,0.2,-10.67,2.12,1
210,230,251,268,204,-0.04,-10.71,2.24,2
217,210,224,236,188,0.04,-10.59,1.96,2
238,203,214,222,186,0.31,-10.67,2.24,2
262,202,212,217,187,0.39,-10.67,2.39,2
274,196,207,211,186,0.27,-10.67,2.43,2
278,187,203,207,186,0.63,-10.71,2.28,2
277,185,199,204,186,0.51,-10.63,2.55,2
274,185,198,202,187,0.63,-10.63,2.51,2
272,184,198,201,188,0.55,-10.63,2.59,2
270,184,198,201,188,0.67,-10.59,2.55,2
268,184,198,201,188,0.59,-10.67,2.59,2
265,184,198,200,188,0.47,-10.67,2.67,2
263,184,198,200,189,0.47,-10.67,2.47,2
231,186,201,205,189,0.31,-10.75,2.47,2
225,216,235,241,198,0.67,-10.59,2.35,3
223,273,279,288,208,0.67,-10.67,1.96,3
251,304,297,315,260,1.14,-10.71,1.33,3
272,314,302,321,252,1.33,-10.71,1.02,3
280,320,306,324,263,1.45,-10.67,0.94,3
283,332,313,330,277,1.61,-10.67,0.75,3
282,329,314,329,267,1.61,-10.63,0.59,3
281,328,312,328,264,1.49,-10.67,0.51,3
279,328,310,326,274,1.45,-10.71,0.51,3
264,256,286,300,237,1.06,-10.67,1.06,3
223,195,270,290,208,0.86,-10.75,1.29,3
226,195,316,338,267,0.86,-10.83,0.94,4
231,188,319,346,275,0.98,-10.79,1.06,4
233,186,316,343,271,1.06,-10.67,1.1,4
234,186,315,342,273,0.98,-10.75,1.06,4
237,185,315,342,273,0.98,-10.67,1.1,4
239,185,315,342,272,1.06,-10.79,1.1,4
240,185,315,341,272,1.02,-10.75,1.1,4
244,185,316,341,273,1.22,-10.71,1.14,4
238,185,314,336,274,1.06,-10.71,1.18,4
225,185,291,305,265,0.67,-10.79,1.65,4
220,191,234,241,199,0.39,-10.63,1.53,4
218,189,209,213,186,0.63,-10.71,1.8,0
217,185,200,203,182,0.63,-10.71,2.24,0
217,184,200,201,181,0.55,-10.75,2.08,0
217,184,199,200,181,0.63,-10.71,2.2,0
217,184,200,198,181,0.63,-10.75,1.77,0
216,184,199,198,181,0.63,-10.71,2.24,0
216,184,199,199,181,0.59,-10.71,2.12,0
216,183,200,199,183,0.63,-10.63,2.39,0
217,183,200,200,189,0.31,-10.71,2.28,0
215,184,200,201,185,0.47,-10.59,2.47,0
216,184,202,199,183,0.63,-10.67,2.47,0
