Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z,Label
225,179,193,190,187,-1.29,-10.32,-0.43,0
229,181,195,180,187,-1.1,-10.32,-0.24,0
225,175,201,187,188,-1.22,-10.36,-0.75,0
227,187,196,188,191,-1.29,-10.28,-0.47,0
220,178,198,187,190,-1.29,-10.24,-0.75,0
218,188,203,227,200,-1.45,-10.36,3.26,0
218,188,203,229,199,-1.57,-10.24,3.37,0
218,188,203,227,200,-1.41,-10.32,3.45,0
218,188,203,229,199,-1.49,-10.28,3.45,0
218,188,205,230,199,-1.65,-10.24,3.57,0
218,191,213,237,201,-1.61,-10.2,3.37,1
219,206,222,246,204,-1.61,-10.28,3.26,1
219,244,244,281,216,-1.57,-10.36,3.3,1
220,287,287,329,248,-1.77,-10.4,2.59,1
221,335,323,381,303,-1.88,-10.28,2.31,1
220,369,345,410,336,-2.16,-10.2,2.04,1
222,377,352,420,351,-2.31,-10.16,1.84,1
227,378,358,424,358,-2.2,-10.47,1.65,1
234,380,362,423,362,-2.43,-10.28,1.41,1
226,369,351,412,351,-2.31,-10.32,1.73,1
225,367,351,412,349,-2.39,-10.32,2,1
224,347,341,403,349,-2.47,-10.12,2.12,1
231,249,280,334,275,-2,-10.4,2.24,1
232,206,219,238,193,-2,-10.24,2.63,1
246,193,204,218,190,-1.53,-10.36,2.82,2
263,186,200,213,193,-1.41,-10.4,2.79,2
268,186,198,213,197,-1.33,-10.32,3.45,2
274,185,198,211,198,-1.33,-10.24,3.53,2
275,185,198,209,199,-1.29,-10.28,3.33,2
272,185,198,208,199,-1.22,-10.43,3.3,2
271,184,198,207,198,-1.18,-10.43,3.3,2
271,184,196,208,198,-1.22,-10.32,3.37,2
252,184,199,207,197,-1.33,-10.4,3.45,2
235,185,199,212,195,-1.33,-10.36,3.1,2
232,186,199,217,195,-1.41,-10.36,3.06,2
228,185,200,215,195,-0.98,-10.32,3.02,2
227,185,200,217,195,-1.18,-10.43,3.1,0
