millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z,mlabel
160703,250,294,353,445,327,-5.18,-5.73,7.3,5
160803,265,314,366,466,331,-5.06,-5.81,7.45,5
160903,184,248,321,441,291,-5.06,-5.69,7.34,5
161003,273,338,400,526,381,-5.65,-5.02,7.81,5
161103,211,284,338,485,312,-5.49,-4.94,8.2,5
161203,192,265,321,471,323,-5.02,-4.82,8.43,5
161303,196,268,321,465,319,-4.9,-4.94,8.67,5
161403,197,268,326,475,324,-4.71,-4.67,8.71,5
161503,195,265,321,464,313,-4.79,-4.71,8.83,5
161603,222,281,331,467,318,-4.71,-5.02,8.67,5
161703,213,263,268,420,300,-4.9,-5.18,8.43,5
161803,212,301,236,360,302,-4.94,-5.77,7.96,5
161903,209,248,194,320,299,-4.35,-6.24,7.26,0
162003,193,220,163,275,275,-4.71,-6.2,6.83,0
162103,210,236,178,298,302,-4.86,-6.28,6.63,0
162203,240,268,212,325,330,-4.98,-5.92,7.14,0
162304,206,258,194,310,318,-5.3,-6.08,7.45,0
162403,241,266,212,323,330,-5.3,-6.24,7.45,0
162503,240,263,212,323,328,-5.22,-5.92,7.57,0
162604,232,267,211,325,327,-5.37,-5.69,7.96,0
162703,232,265,216,337,312,-5.45,-6,7.14,0
162803,220,257,242,376,302,-5.61,-5.77,7.45,5
163003,244,287,324,479,335,-5.18,-5.18,7.1,5
163103,241,301,356,513,344,-5.41,-4.79,7.06,5
163203,232,282,338,500,333,-5.77,-4.86,7.49,5
163303,227,277,324,480,330,-5.73,-5.18,7.57,5
163403,209,274,320,474,330,-5.77,-4.82,8.55,5
163503,241,293,340,505,362,-5.73,-4.55,7.92,5
163603,230,281,326,481,337,-5.41,-4.2,7.96,5
163703,233,281,323,471,341,-5.37,-4.08,8.71,5
163803,228,272,280,413,320,-5.37,-5.33,8.32,5
163903,202,272,236,356,321,-5.45,-5.37,8.04,5
164003,239,269,215,345,326,-5.1,-5.49,7.49,0
164103,199,226,167,286,297,-5.18,-5.69,7.26,0
164203,198,222,165,281,285,-5.45,-5.81,7.26,0
164303,189,216,161,272,279,-5.26,-5.77,7.73,0
164403,194,219,164,277,282,-5.26,-6.04,7.53,0
164503,195,220,164,275,284,-5.3,-6.59,7.65,0
164603,204,225,167,283,287,-5.37,-5.18,7.22,0
164703,197,223,166,278,286,-5.1,-5.3,6.98,0
